,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0346,0.8168550310259209,0.7843425025159343,-1.0,0.7843425025159343
Case-0347,0.729275169362102,0.7200956937799043,-1.0,0.7200956937799043
Case-0348,0.7287108045559741,0.7260071090047393,-1.0,0.7260071090047393
Case-0349,0.00789596761228278,0.00940745265729994,-1.0,0.00940745265729994
Case-0350,0.5877871472333526,0.5715361445783133,-1.0,0.5715361445783133
Case-0351,0.7797843513359517,0.7792881165919282,-1.0,0.7792881165919282
Case-0352,0.7392432315570909,0.7511661807580174,-1.0,0.7511661807580174
Case-0353,0.8030894512206012,0.794459133233705,-1.0,0.794459133233705
Case-0354,0.8637228878713211,0.8594384303112313,-1.0,0.8594384303112313
Case-0355,0.8396954491833785,0.8321490816463333,-1.0,0.8321490816463333
Case-0356,0.7880069479236339,0.7735584843492587,-1.0,0.7735584843492587
Case-0357,0.8021891762243252,0.8079888627115014,-1.0,0.8079888627115014
Case-0358,0.7984447210158487,0.7906172156102962,-1.0,0.7906172156102962
Case-0359,0.7700332950453247,0.7688599511675953,-1.0,0.7688599511675953
Case-0360,0.7658469504946506,0.763102385202012,-1.0,0.763102385202012
Case-0361,0.8263622042607071,0.7992729571676941,-1.0,0.7992729571676941
Case-0362,0.7875743368040756,0.7812567949554251,-1.0,0.7812567949554251
Case-0363,0.8106108781901573,0.8097855469453956,-1.0,0.8097855469453956
Case-0364,0.6854779943900419,0.6540383685313558,-1.0,0.6540383685313558
Case-0365,0.7189945342298769,0.7077774162056623,-1.0,0.7077774162056623
Case-0366,0.7787181879579782,0.7885765169825721,-1.0,0.7885765169825721
Case-0367,0.7660966237423367,0.7616206030150754,-1.0,0.7616206030150754
Case-0368,0.8034820963809208,0.7945874001774623,-1.0,0.7945874001774623
Case-0369,0.8309087807979161,0.8227040816326531,-1.0,0.8227040816326531
Case-0370,0.6872902976834929,0.6739505959578511,-1.0,0.6739505959578511
Case-0371,0.7442086009185838,0.7492990268843807,-1.0,0.7492990268843807
Case-0372,0.8564393896183403,0.8564989645511024,-1.0,0.8564989645511024
Case-0373,0.8322799208096111,0.8272673617942159,-1.0,0.8272673617942159
Case-0374,0.9105230944997552,0.910861325316952,-1.0,0.910861325316952
Case-0375,0.8469350306182367,0.8411388140161725,-1.0,0.8411388140161725
Case-0376,0.8135861462594136,0.7995594713656388,-1.0,0.7995594713656388
Case-0377,0.903652175234506,0.9025697235415906,-1.0,0.9025697235415906
Case-0378,0.8814964604216631,0.8686357533822162,-1.0,0.8686357533822162
Case-0379,0.7716647117206532,0.7575934579439252,-1.0,0.7575934579439252
Case-0380,0.7812914247976914,0.7876573915746929,-1.0,0.7876573915746929
Case-0381,0.7920598087636452,0.7637474541751528,-1.0,0.7637474541751528
Case-0382,0.8685926932234833,0.8683093609997642,-1.0,0.8683093609997642
Case-0383,0.30710942430404603,0.3019281332164768,-1.0,0.3019281332164768
Case-0384,0.8960805642303239,0.8967136150234741,-1.0,0.8967136150234741
Case-0385,0.9019155043609464,0.8972301066849369,-1.0,0.8972301066849369
Case-0386,0.8081091388063214,0.8077427248099275,-1.0,0.8077427248099275
Case-0387,0.7269584533994701,0.7231809030773656,-1.0,0.7231809030773656
Case-0388,0.8549304900443481,0.8385046326222797,-1.0,0.8385046326222797
Case-0389,0.7048128433992288,0.6859010011123471,-1.0,0.6859010011123471
Case-0390,0.8595725246620387,0.8331686103973117,-1.0,0.8331686103973117
Case-0391,0.7954800770324179,0.7674331650775846,-1.0,0.7674331650775846
Case-0392,0.7971839063604873,0.7956008583690987,-1.0,0.7956008583690987
Case-0393,0.7378129065630046,0.7521683673469388,-1.0,0.7521683673469388
Case-0394,0.8103260232411904,0.7904827114002054,-1.0,0.7904827114002054
Case-0395,0.8354637805820803,0.8214413128790582,-1.0,0.8214413128790582
Case-0396,0.7640825410306619,0.7591696383087112,-1.0,0.7591696383087112
Case-0397,0.8293406085476253,0.8099563953488372,-1.0,0.8099563953488372
Case-0398,0.8390342052313883,0.814049056119173,-1.0,0.814049056119173
Case-0399,0.8260598773856719,0.8345864661654135,-1.0,0.8345864661654135
Case-0400,0.3434271881140548,0.3555422168867547,-1.0,0.3555422168867547
Case-0401,0.8915421452132098,0.8769206145966709,-1.0,0.8769206145966709
Case-0402,0.8442682135077575,0.8354109855862875,-1.0,0.8354109855862875
Case-0403,0.7763283127833134,0.784658201426335,-1.0,0.784658201426335
Case-0404,0.7165016884489471,0.7090832098242642,-1.0,0.7090832098242642
Case-0405,0.8092036643245822,0.8101380110924803,-1.0,0.8101380110924803
Case-0406,0.3664415856168391,0.3619012436892009,-1.0,0.3619012436892009
Case-0407,0.7917595633216549,0.7574733096085409,-1.0,0.7574733096085409
Case-0408,0.7565808254051448,0.7424183713009606,-1.0,0.7424183713009606
Case-0409,0.7922054645039194,0.7887307962874713,-1.0,0.7887307962874713
Case-0410,0.8415620990246072,0.8383325460557393,-1.0,0.8383325460557393
Case-0411,0.8443433157173615,0.829641185647426,-1.0,0.829641185647426
Case-0412,0.7255425037278452,0.7256832797427653,-1.0,0.7256832797427653
Case-0413,0.6277683033564752,0.6304374806081291,-1.0,0.6304374806081291
Case-0414,0.8746471106825994,0.8278202779872859,-1.0,0.8278202779872859
Case-0415,0.6245236894183385,0.6218930454431333,-1.0,0.6218930454431333
Case-0416,0.8387730946442269,0.8174171529230431,-1.0,0.8174171529230431
Case-0417,0.8369611272192544,0.8323508395855663,-1.0,0.8323508395855663
Case-0418,0.8360779519631814,0.8526368491321762,-1.0,0.8526368491321762
Case-0419,0.7177012779939287,0.7236819606725563,-1.0,0.7236819606725563
Case-0420,0.8498299244319729,0.8405274628870643,-1.0,0.8405274628870643
Case-0421,0.8170544964471538,0.7989869368168488,-1.0,0.7989869368168488
Case-0422,0.8000795490392396,0.7979533213644524,-1.0,0.7979533213644524
Case-0423,0.7472337038843675,0.7461762034514078,-1.0,0.7461762034514078
Case-0424,0.8203983107974147,0.8110324863300097,-1.0,0.8110324863300097
Case-0425,0.8724818252653398,0.8524689856482608,-1.0,0.8524689856482608
Case-0426,0.6779293169577041,0.6711540892428265,-1.0,0.6711540892428265
Case-0428,0.9098057959347956,0.9055896536606752,-1.0,0.9055896536606752
Case-0429,0.8748846361821591,0.8733642552290924,-1.0,0.8733642552290924
Case-0430,0.8848078848078849,0.8792888012564053,-1.0,0.8792888012564053
Case-0431,0.7276797250955112,0.7267970882620565,-1.0,0.7267970882620565
Case-0434,0.8499151139095472,0.8475871253159986,-1.0,0.8475871253159986
Case-0435,0.7731732883175604,0.7798058628140218,-1.0,0.7798058628140218
Case-0436,0.8154648117062729,0.8137941752401082,-1.0,0.8137941752401082
Case-0437,0.8658029442396756,0.8589423076923077,-1.0,0.8589423076923077
Case-0438,0.8449821370574861,0.8260881822282363,-1.0,0.8260881822282363
Case-0439,0.8837749024440337,0.8737278485517045,-1.0,0.8737278485517045
Case-0440,0.7920312817978312,0.7822618488972314,-1.0,0.7822618488972314
Case-0441,0.8667516390291478,0.8749482401656314,-1.0,0.8749482401656314
Case-0442,0.7872020824887448,0.7805687995102314,-1.0,0.7805687995102314
Case-0444,0.7531381377646209,0.7281078710809034,-1.0,0.7281078710809034
Case-0445,0.7259421365217419,0.7294558635745768,-1.0,0.7294558635745768
Case-0446,0.8517379425589608,0.8277408637873754,-1.0,0.8277408637873754
Case-0447,0.6836853285468011,0.6898813241723922,-1.0,0.6898813241723922
Case-0448,0.7911280988922281,0.760738148265988,-1.0,0.760738148265988
