,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0346,0.8177000730532077,0.7931167677391943,-1.0,0.7931167677391943
Case-0347,0.6571522545150101,0.6453105968331303,-1.0,0.6453105968331303
Case-0348,0.7216438922325834,0.7101776148858191,-1.0,0.7101776148858191
Case-0349,0.5922133984730409,0.6006790073559131,-1.0,0.6006790073559131
Case-0350,0.7577672636462681,0.7467917077986179,-1.0,0.7467917077986179
Case-0351,0.8111840931151708,0.8036663867898125,-1.0,0.8036663867898125
Case-0352,0.8339554096741171,0.823642664613015,-1.0,0.823642664613015
Case-0353,0.8325830677283564,0.8367203101139434,-1.0,0.8367203101139434
Case-0354,0.8612927872860636,0.8439391460821201,-1.0,0.8439391460821201
Case-0355,0.8332936950018149,0.8203850814595395,-1.0,0.8203850814595395
Case-0356,0.8045494597226731,0.7929533852205205,-1.0,0.7929533852205205
Case-0357,0.8365129896154762,0.8455867082035307,-1.0,0.8455867082035307
Case-0358,0.8382726966481387,0.8323505762530152,-1.0,0.8323505762530152
Case-0359,0.8189203143194018,0.8125516589916165,-1.0,0.8125516589916165
Case-0360,0.7796094260887565,0.7709589867310012,-1.0,0.7709589867310012
Case-0361,0.7521037993189396,0.7186116269104413,-1.0,0.7186116269104413
Case-0362,0.7572403110012214,0.7346352670878805,-1.0,0.7346352670878805
Case-0363,0.8725278236602254,0.8648358898235197,-1.0,0.8648358898235197
Case-0364,0.7043854317639908,0.6798555739431322,-1.0,0.6798555739431322
Case-0365,0.7928139053013509,0.7752976190476191,-1.0,0.7752976190476191
Case-0366,0.8180052315784279,0.8196365298891302,-1.0,0.8196365298891302
Case-0367,0.7828513902349238,0.7678100263852242,-1.0,0.7678100263852242
Case-0368,0.8190998843961359,0.8107388316151203,-1.0,0.8107388316151203
Case-0369,0.7947695407606414,0.7803747940691927,-1.0,0.7803747940691927
Case-0370,0.7284485242662495,0.7272003538257408,-1.0,0.7272003538257408
Case-0371,0.7942670451603184,0.7932521953474041,-1.0,0.7932521953474041
Case-0372,0.8780133069697741,0.8750147388279684,-1.0,0.8750147388279684
Case-0373,0.8494611407488973,0.8459049544994944,-1.0,0.8459049544994944
Case-0374,0.9190099753812706,0.9151740020470828,-1.0,0.9151740020470828
Case-0375,0.8611847965707142,0.8537393499526664,-1.0,0.8537393499526664
Case-0376,0.7876454639081362,0.7649821109123435,-1.0,0.7649821109123435
Case-0377,0.9076889348916778,0.8979756153669197,-1.0,0.8979756153669197
Case-0378,0.9104116760529865,0.898911827519577,-1.0,0.898911827519577
Case-0379,0.8015285337157384,0.7892652423137051,-1.0,0.7892652423137051
Case-0380,0.8305278004194562,0.8296043858349386,-1.0,0.8296043858349386
Case-0381,0.8054735541769231,0.7866588304437261,-1.0,0.7866588304437261
Case-0382,0.8721559715909879,0.8638040925863804,-1.0,0.8638040925863804
Case-0383,0.5150154100578817,0.5064404260589547,-1.0,0.5064404260589547
Case-0384,0.9094040436980272,0.9044955904495592,-1.0,0.9044955904495592
Case-0385,0.8976656692975701,0.8893526157429875,-1.0,0.8893526157429875
Case-0386,0.8123003703428591,0.8079498626373627,-1.0,0.8079498626373627
Case-0387,0.8387687125748503,0.8235364683301344,-1.0,0.8235364683301344
Case-0388,0.856481585873,0.8409372419488026,-1.0,0.8409372419488026
Case-0389,0.7918356902243906,0.7712232167073502,-1.0,0.7712232167073502
Case-0390,0.834040252827678,0.8169419900115251,-1.0,0.8169419900115251
Case-0391,0.8239267910790459,0.8012567324955117,-1.0,0.8012567324955117
Case-0392,0.759878692351433,0.7463553655595747,-1.0,0.7463553655595747
Case-0393,0.7625883873488679,0.7659756097560976,-1.0,0.7659756097560976
Case-0394,0.777313113631952,0.7648851638184391,-1.0,0.7648851638184391
Case-0395,0.8641617641252418,0.8384356467382593,-1.0,0.8384356467382593
Case-0396,0.7447247382724717,0.7279255945373204,-1.0,0.7279255945373204
Case-0397,0.8383108750107973,0.8088749126484975,-1.0,0.8088749126484975
Case-0398,0.8271499586367261,0.7999760163089099,-1.0,0.7999760163089099
Case-0399,0.8181524308168435,0.8155919481405663,-1.0,0.8155919481405663
Case-0400,0.8193323229100191,0.8109039836567926,-1.0,0.8109039836567926
Case-0401,0.8685722825929747,0.8518518518518519,-1.0,0.8518518518518519
Case-0402,0.8587578522243541,0.8480786416443253,-1.0,0.8480786416443253
Case-0403,0.8508510305339998,0.8303876429526215,-1.0,0.8303876429526215
Case-0404,0.7341024254441306,0.7453077258838935,-1.0,0.7453077258838935
Case-0405,0.8469783378915963,0.8409231914629607,-1.0,0.8409231914629607
Case-0406,0.5768501552399857,0.5844507042253521,-1.0,0.5844507042253521
Case-0407,0.8359036659008194,0.8041591616178156,-1.0,0.8041591616178156
Case-0408,0.7726668259456438,0.7583693516699409,-1.0,0.7583693516699409
Case-0409,0.8156727781550301,0.8121551857842377,-1.0,0.8121551857842377
Case-0410,0.8520477249803103,0.8488307658206805,-1.0,0.8488307658206805
Case-0411,0.8144559936730313,0.8034060352554526,-1.0,0.8034060352554526
Case-0412,0.8109472189804733,0.8018922571925082,-1.0,0.8018922571925082
Case-0413,0.6418868057265469,0.6452327933154917,-1.0,0.6452327933154917
Case-0414,0.8555681415262774,0.8129327902240326,-1.0,0.8129327902240326
Case-0415,0.7071276054905948,0.6950769898069833,-1.0,0.6950769898069833
Case-0416,0.8382390568414423,0.8171848766284828,-1.0,0.8171848766284828
Case-0417,0.8316161367868913,0.83687905256953,-1.0,0.83687905256953
Case-0418,0.8109099703606125,0.8173898475456526,-1.0,0.8173898475456526
Case-0419,0.8027432479656532,0.8002850055417744,-1.0,0.8002850055417744
Case-0420,0.8582188528008154,0.8505165586078527,-1.0,0.8505165586078527
Case-0421,0.8363541006000879,0.8156622345018132,-1.0,0.8156622345018132
Case-0422,0.8485634029513499,0.8463365757002612,-1.0,0.8463365757002612
Case-0423,0.8028689284016661,0.7939934061405316,-1.0,0.7939934061405316
Case-0424,0.7521370626612204,0.7384901828029791,-1.0,0.7384901828029791
Case-0425,0.8994921238553348,0.883427922814983,-1.0,0.883427922814983
Case-0426,0.7076188078686094,0.7038454637880509,-1.0,0.7038454637880509
Case-0428,0.9023193642679828,0.8909935516714746,-1.0,0.8909935516714746
Case-0429,0.8891890432762196,0.8850066610148964,-1.0,0.8850066610148964
Case-0430,0.8846357680323819,0.8885357372256307,-1.0,0.8885357372256307
Case-0431,0.8116143408743093,0.7912156536219817,-1.0,0.7912156536219817
Case-0434,0.8611081087493508,0.8592326958105647,-1.0,0.8592326958105647
Case-0435,0.8615689544898785,0.8543338329953267,-1.0,0.8543338329953267
Case-0436,0.8547185706489268,0.8509835322378376,-1.0,0.8509835322378376
Case-0437,0.8089251525153888,0.7978579015696919,-1.0,0.7978579015696919
Case-0438,0.8561781216217976,0.8444350758853288,-1.0,0.8444350758853288
Case-0439,0.8932741437648258,0.8819773393715407,-1.0,0.8819773393715407
Case-0440,0.7924348464237131,0.7854373115036622,-1.0,0.7854373115036622
Case-0441,0.8923290899703302,0.8915232733328047,-1.0,0.8915232733328047
Case-0442,0.8344967880913798,0.8261066398390342,-1.0,0.8261066398390342
Case-0444,0.7639990375360924,0.7378144487337208,-1.0,0.7378144487337208
Case-0445,0.6751729259895647,0.6769118537686506,-1.0,0.6769118537686506
Case-0446,0.8179014348097318,0.7908603024882095,-1.0,0.7908603024882095
Case-0447,0.8239894709665833,0.82577801762907,-1.0,0.82577801762907
Case-0448,0.8316773017319964,0.8100475624256838,-1.0,0.8100475624256838
Case-0449,0.8894592511238599,0.8838759028523515,-1.0,0.8838759028523515
Case-0450,0.9048685312214344,0.9060609538174008,-1.0,0.9060609538174008
Case-0451,0.8052047680868641,0.8070090327350012,-1.0,0.8070090327350012
Case-0452,0.7895532633297466,0.7673075347516181,-1.0,0.7673075347516181
Case-0453,0.9004852476062563,0.8852370186288981,-1.0,0.8852370186288981
Case-0454,0.7267563695609427,0.7167432857488507,-1.0,0.7167432857488507
Case-0455,0.8071554441641487,0.8080655157149181,-1.0,0.8080655157149181
Case-0456,0.7893033090639578,0.7955691009260345,-1.0,0.7955691009260345
Case-0457,0.883220128279043,0.8825206619531084,-1.0,0.8825206619531084
Case-0458,0.7917139043956202,0.7854014296929879,-1.0,0.7854014296929879
Case-0459,0.8321345789927478,0.8234653105702869,-1.0,0.8234653105702869
Case-0460,0.7543306351909305,0.7631937093603508,-1.0,0.7631937093603508
Case-0461,0.7287791118405859,0.7167892033437405,-1.0,0.7167892033437405
Case-0462,0.8040594976736691,0.7936359076137925,-1.0,0.7936359076137925
Case-0463,0.8895888746371431,0.8842644160740296,-1.0,0.8842644160740296
Case-0464,0.9138219846714464,0.9294608586985628,-1.0,0.9294608586985628
Case-0465,0.805444175005977,0.7758357002403321,-1.0,0.7758357002403321
Case-0466,0.8564417474554553,0.8552648184762947,-1.0,0.8552648184762947
Case-0467,0.9029005905210659,0.8912496690495102,-1.0,0.8912496690495102
Case-0468,0.8467924553658421,0.8459891500904159,-1.0,0.8459891500904159
Case-0469,0.6408675114343555,0.6171046939216959,-1.0,0.6171046939216959
Case-0470,0.8096146438986812,0.8055067369654364,-1.0,0.8055067369654364
Case-0471,0.7716466729190872,0.7561159770462096,-1.0,0.7561159770462096
Case-0472,0.7643865740011467,0.762722611980572,-1.0,0.762722611980572
Case-0473,0.7241339689393859,0.7297250381891404,-1.0,0.7297250381891404
Case-0474,0.8508833943984065,0.8617056392516207,-1.0,0.8617056392516207
Case-0475,0.8388384696789918,0.845846367744178,-1.0,0.845846367744178
Case-0476,0.8321983507598357,0.8331457964957403,-1.0,0.8331457964957403
Case-0477,0.6538087668538363,0.6574629455212413,-1.0,0.6574629455212413
Case-0478,0.80137336255294,0.7972833562585969,-1.0,0.7972833562585969
Case-0479,0.9112209304075386,0.9034951857301428,-1.0,0.9034951857301428
Case-0480,0.8328391009944076,0.8278559014062253,-1.0,0.8278559014062253
Case-0481,0.5183763373190686,0.5047230968697907,-1.0,0.5047230968697907
Case-0482,0.8501220777007671,0.8395339667518856,-1.0,0.8395339667518856
Case-0483,0.8139251996258599,0.8061806719336047,-1.0,0.8061806719336047
Case-0484,0.6517508010115854,0.6526762956669498,-1.0,0.6526762956669498
Case-0485,0.854115757392713,0.8459483438485804,-1.0,0.8459483438485804
Case-0486,0.5476580285187971,0.5426545574695707,-1.0,0.5426545574695707
Case-0487,0.8295703576833986,0.8246931743389214,-1.0,0.8246931743389214
Case-0488,0.7337050981988399,0.7302432551968155,-1.0,0.7302432551968155
Case-0489,0.7575163216855849,0.7431847083134637,-1.0,0.7431847083134637
Case-0490,0.8129274610709256,0.7892834961323472,-1.0,0.7892834961323472
Case-0491,0.4362914930474273,0.4123031559847061,-1.0,0.4123031559847061
Case-0492,0.8473211040083696,0.8392330383480826,-1.0,0.8392330383480826
Case-0493,0.8380244969736627,0.8238701435996828,-1.0,0.8238701435996828
Case-0494,0.7671503605448233,0.7586765386395188,-1.0,0.7586765386395188
Case-0495,0.8445273115541965,0.8323792397222638,-1.0,0.8323792397222638
Case-0496,0.8384945621064682,0.8115852692016414,-1.0,0.8115852692016414
Case-0497,0.8300689835124513,0.8221793311794571,-1.0,0.8221793311794571
Case-0498,0.8473137321656935,0.8399756747791688,-1.0,0.8399756747791688
Case-0499,0.619242494662959,0.6159710733229862,-1.0,0.6159710733229862
Case-0500,0.7047031405822529,0.7013098931402965,-1.0,0.7013098931402965
Case-0501,0.4657657349825736,0.4505218399690761,-1.0,0.4505218399690761
Case-0502,0.7477752827677977,0.7419008467296601,-1.0,0.7419008467296601
Case-0503,0.821851545282775,0.8288636534556667,-1.0,0.8288636534556667
Case-0504,0.853790274603125,0.8410231988570651,-1.0,0.8410231988570651
Case-0505,0.7485315712187959,0.7415240198785201,-1.0,0.7415240198785201
Case-0506,0.8364517954931383,0.8200631527811513,-1.0,0.8200631527811513
Case-0507,0.6957997375335071,0.6936636439700595,-1.0,0.6936636439700595
Case-0508,0.8801657027356962,0.869781340689021,-1.0,0.869781340689021
Case-0509,0.8487102985472986,0.8322238121902155,-1.0,0.8322238121902155
Case-0510,0.7746548524583478,0.7686126598884879,-1.0,0.7686126598884879
Case-0511,0.8554186950697553,0.8393007582139849,-1.0,0.8393007582139849
Case-0512,0.883750093759376,0.8711127763207194,-1.0,0.8711127763207194
Case-0513,0.8520801026235317,0.843941182784158,-1.0,0.843941182784158
Case-0514,0.8326044875105426,0.8246239303889933,-1.0,0.8246239303889933
Case-0515,0.7274481164354022,0.7124069262993027,-1.0,0.7124069262993027
Case-0516,0.9042972517381058,0.8975702975702976,-1.0,0.8975702975702976
Case-0517,0.7421173682104599,0.7223909756326022,-1.0,0.7223909756326022
Case-0518,0.7779052265531738,0.7785449646345571,-1.0,0.7785449646345571
Case-0519,0.67773089970613,0.6748709719391074,-1.0,0.6748709719391074
Case-0520,0.5178253569351317,0.4757096069868996,-1.0,0.4757096069868996
Case-0521,0.808749991208513,0.7995736252438047,-1.0,0.7995736252438047
Case-0522,0.8360350118455154,0.8242052655984338,-1.0,0.8242052655984338
Case-0523,0.9004401936573047,0.9081075052972007,-1.0,0.9081075052972007
Case-0524,0.7630098170638712,0.7390050719099562,-1.0,0.7390050719099562
Case-0525,0.9251408189122216,0.923379131732584,-1.0,0.923379131732584
Case-0526,0.7907207409358608,0.7968037806549034,-1.0,0.7968037806549034
Case-0527,0.6588811054087754,0.6556875784774218,-1.0,0.6556875784774218
Case-0528,0.8251392079483412,0.8270765722305061,-1.0,0.8270765722305061
Case-0529,0.8410398856557266,0.8298833887509952,-1.0,0.8298833887509952
Case-0530,0.6669562649767754,0.6498635122838945,-1.0,0.6498635122838945
Case-0531,0.7876658293022194,0.7706657730116175,-1.0,0.7706657730116175
Case-0532,0.9102796976160508,0.9009710296123906,-1.0,0.9009710296123906
Case-0533,0.8362819763605859,0.8309794289223211,-1.0,0.8309794289223211
Case-0534,0.8328844401831643,0.8283468647434791,-1.0,0.8283468647434791
Case-0535,0.6408791291574071,0.6481560363187984,-1.0,0.6481560363187984
Case-0536,0.8271088618924148,0.8193658634653493,-1.0,0.8193658634653493
Case-0537,0.8168496915075071,0.8118512258904407,-1.0,0.8118512258904407
Case-0538,0.5138469365044037,0.4984056564536254,-1.0,0.4984056564536254
Case-0539,0.8570757924045715,0.8525312327529978,-1.0,0.8525312327529978
Case-0540,0.3108822407498229,0.32735321528424977,-1.0,0.32735321528424977
Case-0541,0.8179351711272544,0.8018619934282585,-1.0,0.8018619934282585
Case-0542,0.8737105281879809,0.8683713222467728,-1.0,0.8683713222467728
Case-0543,0.7386091293204959,0.7239314160637198,-1.0,0.7239314160637198
Case-0544,0.8184554106200137,0.8108855969832302,-1.0,0.8108855969832302
