,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0346,0.7570424602276062,0.7374898160456241,-1.0,0.7374898160456241
Case-0347,0.36586726667398384,0.3701615933859451,-1.0,0.3701615933859451
Case-0348,0.4802325835096983,0.4855177407675597,-1.0,0.4855177407675597
Case-0349,0.23203711715667602,0.24467743661067726,-1.0,0.24467743661067726
Case-0350,0.7152348185102356,0.7026515151515151,-1.0,0.7026515151515151
Case-0351,0.7264276525033055,0.7165104542177361,-1.0,0.7165104542177361
Case-0352,0.4128764606409559,0.4390103567318757,-1.0,0.4390103567318757
Case-0353,0.2995804989280629,0.31970593509055045,-1.0,0.31970593509055045
Case-0354,0.8357666333624527,0.8312709030100335,-1.0,0.8312709030100335
Case-0355,0.4637325380986938,0.4762520790981334,-1.0,0.4762520790981334
Case-0356,0.6087204248211734,0.6176659528907923,-1.0,0.6176659528907923
Case-0357,0.7197550750054571,0.7353649722958323,-1.0,0.7353649722958323
Case-0358,0.7784808163518502,0.7752713943324404,-1.0,0.7752713943324404
Case-0359,0.5756293466109342,0.5784035508986393,-1.0,0.5784035508986393
Case-0360,0.3850209671695408,0.4067516525023607,-1.0,0.4067516525023607
Case-0361,0.2927755088597589,0.2953804347826087,-1.0,0.2953804347826087
Case-0362,0.010738976609283777,0.015365448504983387,-1.0,0.015365448504983387
Case-0363,0.39932109659505616,0.4003757044458359,-1.0,0.4003757044458359
Case-0364,0.11209933354490638,0.11527452511059068,-1.0,0.11527452511059068
Case-0365,0.5573913331200988,0.5483516483516484,-1.0,0.5483516483516484
Case-0366,0.756392996256098,0.7508326137905513,-1.0,0.7508326137905513
Case-0367,0.5787978678636555,0.5884804850322092,-1.0,0.5884804850322092
Case-0368,0.6790698743588228,0.6829137653990359,-1.0,0.6829137653990359
Case-0369,0.4601284807942449,0.4587900355871886,-1.0,0.4587900355871886
Case-0370,0.6335244066278549,0.6449338356032068,-1.0,0.6449338356032068
Case-0371,0.2860586666666667,0.2733142037302726,-1.0,0.2733142037302726
Case-0372,0.714059241068425,0.7064468171374508,-1.0,0.7064468171374508
Case-0373,0.7757747489239598,0.7917908736528321,-1.0,0.7917908736528321
Case-0374,0.9150055806203136,0.9064305450891736,-1.0,0.9064305450891736
Case-0375,0.4132034275972424,0.41581008321096413,-1.0,0.41581008321096413
Case-0376,0.14836947670412548,0.16809116809116809,-1.0,0.16809116809116809
Case-0377,0.7116895217272983,0.7048425430778372,-1.0,0.7048425430778372
