,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0000,0.5556854185161958,0.5521370074428098,-1.0,0.5521370074428098
Case-0001,0.5822826045299505,0.5827926546341079,-1.0,0.5827926546341079
Case-0002,0.6421381029527569,0.6520459770114942,-1.0,0.6520459770114942
Case-0003,0.32587475504393804,0.3034825870646766,-1.0,0.3034825870646766
Case-0004,0.3503883974027997,0.35963637324595016,-1.0,0.35963637324595016
Case-0005,0.3451927034814446,0.35307954808998443,-1.0,0.35307954808998443
Case-0006,0.5296853702862335,0.523859246110473,-1.0,0.523859246110473
Case-0007,0.34398151648019354,0.3572607977752672,-1.0,0.3572607977752672
Case-0008,0.6870134811915634,0.6884110787172012,-1.0,0.6884110787172012
Case-0009,0.5540478958777859,0.5560291382517049,-1.0,0.5560291382517049
Case-0010,0.8057307927116785,0.8128337433251335,-1.0,0.8128337433251335
Case-0011,0.7421545331165552,0.7378776230745139,-1.0,0.7378776230745139
Case-0012,0.7843436553523004,0.7928995314940135,-1.0,0.7928995314940135
Case-0013,0.6809659068242203,0.6869820315364871,-1.0,0.6869820315364871
Case-0014,0.6791891373748656,0.7027863777089783,-1.0,0.7027863777089783
Case-0015,0.01587968474040878,0.017424097765896502,-1.0,0.017424097765896502
Case-0016,0.3404387761137697,0.3456403945096833,-1.0,0.3456403945096833
Case-0017,0.7622390935628656,0.7542351988166097,-1.0,0.7542351988166097
Case-0018,0.3050781905616731,0.31384274640088594,-1.0,0.31384274640088594
Case-0019,0.4907360208430681,0.4994931521621913,-1.0,0.4994931521621913
Case-0020,0.11642550596843415,0.1138040804514542,-1.0,0.1138040804514542
Case-0021,0.468137066009017,0.4602795470629866,-1.0,0.4602795470629866
Case-0022,0.7420755786155726,0.7321899736147758,-1.0,0.7321899736147758
Case-0023,0.6532415515805794,0.6444044904402736,-1.0,0.6444044904402736
Case-0024,0.8209729847851621,0.8372449220038645,-1.0,0.8372449220038645
Case-0025,0.5597226334793235,0.566242174541174,-1.0,0.566242174541174
Case-0026,0.5470784468985292,0.5478471283182692,-1.0,0.5478471283182692
Case-0028,0.8175794073526534,0.8169552270271695,-1.0,0.8169552270271695
Case-0029,0.5505254231461215,0.5641470671578351,-1.0,0.5641470671578351
Case-0030,0.7658324332983655,0.7809514801853779,-1.0,0.7809514801853779
Case-0031,0.5246172023534633,0.5335926706900312,-1.0,0.5335926706900312
Case-0032,0.4438467790230131,0.4555862313517895,-1.0,0.4555862313517895
Case-0033,0.7160510739940636,0.7096698264609591,-1.0,0.7096698264609591
Case-0034,0.6113357029398745,0.6070292694169164,-1.0,0.6070292694169164
Case-0035,0.5118341305963218,0.5167830552445937,-1.0,0.5167830552445937
Case-0036,0.3928993819750122,0.3943818098250737,-1.0,0.3943818098250737
Case-0037,0.7321047133479894,0.7286009867897502,-1.0,0.7286009867897502
Case-0038,0.7062141144621482,0.7127907912742494,-1.0,0.7127907912742494
Case-0039,0.37774813097257626,0.3832049387927395,-1.0,0.3832049387927395
Case-0040,0.4203081039604935,0.42402481661753616,-1.0,0.42402481661753616
Case-0041,0.7575211691403176,0.7572737068965517,-1.0,0.7572737068965517
Case-0042,0.6215669676448458,0.6295423563777994,-1.0,0.6295423563777994
Case-0043,0.6549185830900062,0.6667157922316107,-1.0,0.6667157922316107
Case-0044,0.6578278416962834,0.6695585570988791,-1.0,0.6695585570988791
Case-0045,0.3862397912731522,0.3899015525466729,-1.0,0.3899015525466729
Case-0046,0.6180883372396263,0.6266290947516732,-1.0,0.6266290947516732
Case-0047,0.6437754006486827,0.6467155835080364,-1.0,0.6467155835080364
Case-0048,0.6889747623281581,0.6775712618769795,-1.0,0.6775712618769795
Case-0049,0.814428275418582,0.8251851423281648,-1.0,0.8251851423281648
Case-0050,0.3544498282970849,0.35611418832552194,-1.0,0.35611418832552194
Case-0051,0.7408040948464433,0.7321158826068191,-1.0,0.7321158826068191
Case-0053,0.3276563466044588,0.3285428126291692,-1.0,0.3285428126291692
Case-0054,0.8882887717169832,0.8757610607495603,-1.0,0.8757610607495603
Case-0055,0.7639498151674695,0.77167473692753,-1.0,0.77167473692753
Case-0056,0.5645016345189565,0.5662392030099094,-1.0,0.5662392030099094
Case-0057,0.5725335866467635,0.5769762986091399,-1.0,0.5769762986091399
Case-0058,0.1561325838446763,0.15085417630842907,-1.0,0.15085417630842907
Case-0059,0.6211864177367106,0.6252700828791641,-1.0,0.6252700828791641
Case-0060,0.16032255736758552,0.14374854662429268,-1.0,0.14374854662429268
Case-0061,0.16878202673377465,0.17394972161295766,-1.0,0.17394972161295766
Case-0062,0.6090687808609778,0.6154649652758173,-1.0,0.6154649652758173
Case-0063,0.3499109372704569,0.3476155414589941,-1.0,0.3476155414589941
Case-0064,0.5448449607471403,0.5478371703975146,-1.0,0.5478371703975146
Case-0065,0.06861498723653278,0.07239078044861892,-1.0,0.07239078044861892
Case-0066,0.06992104892147187,0.05868660190697882,-1.0,0.05868660190697882
Case-0067,0.6737754933758452,0.6831897629005115,-1.0,0.6831897629005115
Case-0068,0.29541944015379656,0.31124948958758675,-1.0,0.31124948958758675
Case-0069,0.7003769907419279,0.7033836838951784,-1.0,0.7033836838951784
Case-0070,0.33828828544563017,0.3415159512535901,-1.0,0.3415159512535901
Case-0071,0.7850505873104743,0.7884780150107954,-1.0,0.7884780150107954
Case-0072,0.4532436224948728,0.4506798438876999,-1.0,0.4506798438876999
Case-0073,0.540017134010242,0.5551802069703818,-1.0,0.5551802069703818
Case-0074,0.5366214335421016,0.5448511451732805,-1.0,0.5448511451732805
Case-0076,0.7983137852180667,0.8105851796883282,-1.0,0.8105851796883282
Case-0077,0.8120880004287475,0.8134055517941774,-1.0,0.8134055517941774
Case-0078,0.6601559230428908,0.6633333333333333,-1.0,0.6633333333333333
Case-0080,0.10327201436200978,0.09941084693663693,-1.0,0.09941084693663693
Case-0081,0.4998292989323726,0.5028507432294849,-1.0,0.5028507432294849
Case-0082,0.2916619398752127,0.30428507992895204,-1.0,0.30428507992895204
Case-0083,0.7459340743469877,0.7473724162092724,-1.0,0.7473724162092724
Case-0084,0.5158613386313797,0.5244927536231884,-1.0,0.5244927536231884
Case-0085,0.36806571059630394,0.3715573749255123,-1.0,0.3715573749255123
Case-0086,0.3520796719390744,0.3602454547759718,-1.0,0.3602454547759718
Case-0087,0.3510645415292138,0.3457527493363671,-1.0,0.3457527493363671
Case-0089,0.4525378647366634,0.4653972022587269,-1.0,0.4653972022587269
Case-0090,0.7829253335839971,0.7703968330597664,-1.0,0.7703968330597664
Case-0091,0.4929270717708887,0.5009506622409848,-1.0,0.5009506622409848
Case-0092,0.8516623133268979,0.8230154548647699,-1.0,0.8230154548647699
Case-0093,0.8077613994605782,0.8025009308675686,-1.0,0.8025009308675686
Case-0094,0.7490915799690375,0.7640322975287497,-1.0,0.7640322975287497
Case-0095,0.7560533810186105,0.7622504172279975,-1.0,0.7622504172279975
Case-0096,0.6189727753365727,0.6202730974287449,-1.0,0.6202730974287449
Case-0097,0.7503188457230312,0.7626095751854349,-1.0,0.7626095751854349
Case-0098,0.09837085779619563,0.10579890788224122,-1.0,0.10579890788224122
Case-0099,0.4636584214792092,0.470360824742268,-1.0,0.470360824742268
Case-0100,0.5741121034709361,0.5921016102165464,-1.0,0.5921016102165464
Case-0101,0.2645920253339835,0.27595333261315763,-1.0,0.27595333261315763
Case-0102,0.5293906576200418,0.5445458316051431,-1.0,0.5445458316051431
Case-0103,0.7765142979308591,0.782863767301342,-1.0,0.782863767301342
Case-0104,0.18653823498061745,0.1938943328993353,-1.0,0.1938943328993353
Case-0105,0.40574117303764223,0.4074717249977736,-1.0,0.4074717249977736
Case-0106,0.642219902147434,0.6569979867273134,-1.0,0.6569979867273134
Case-0107,0.4412307711180353,0.4513156464064369,-1.0,0.4513156464064369
Case-0108,0.4051617095325622,0.3963288020155597,-1.0,0.3963288020155597
Case-0109,0.6443636547249363,0.6629128893629035,-1.0,0.6629128893629035
Case-0110,0.6332983052290085,0.63494263958371,-1.0,0.63494263958371
Case-0111,0.5561884192992858,0.5666481473567246,-1.0,0.5666481473567246
Case-0112,0.2963336434592221,0.292877981808821,-1.0,0.292877981808821
Case-0113,0.3527687411064908,0.3488725065047701,-1.0,0.3488725065047701
