,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0000,0.8694666200184472,0.8571733023345927,-1.0,0.8571733023345927
Case-0001,0.7434858361119306,0.733923929402107,-1.0,0.733923929402107
Case-0002,0.8938854726512694,0.894079771939741,-1.0,0.894079771939741
Case-0003,0.3570435706912235,0.3439805705853419,-1.0,0.3439805705853419
Case-0004,0.7897695699415475,0.8142004322914879,-1.0,0.8142004322914879
Case-0005,0.8660369458661489,0.8806305324205294,-1.0,0.8806305324205294
Case-0006,0.7953307873057532,0.7821731047304276,-1.0,0.7821731047304276
Case-0007,0.8880345822762717,0.8915072772993979,-1.0,0.8915072772993979
Case-0008,0.7953410359544679,0.8001365143340051,-1.0,0.8001365143340051
Case-0009,0.7753318649417285,0.7741761071060762,-1.0,0.7741761071060762
Case-0010,0.9068979000595412,0.9110599448475276,-1.0,0.9110599448475276
Case-0011,0.8561590414316814,0.8455835795694386,-1.0,0.8455835795694386
Case-0012,0.8886478190017811,0.8982396775910577,-1.0,0.8982396775910577
Case-0013,0.8517415286407091,0.8475508163945351,-1.0,0.8475508163945351
Case-0014,0.7870393800411197,0.8247930721018133,-1.0,0.8247930721018133
Case-0015,0.7527446118997425,0.7590392710916325,-1.0,0.7590392710916325
Case-0016,0.8053875560007682,0.8070472620678055,-1.0,0.8070472620678055
Case-0017,0.8662602350523678,0.8517330939173373,-1.0,0.8517330939173373
Case-0018,0.8323745386543239,0.8245144900892469,-1.0,0.8245144900892469
Case-0019,0.7866654915612744,0.7843584448235611,-1.0,0.7843584448235611
Case-0020,0.6753300841825431,0.6634429400386848,-1.0,0.6634429400386848
Case-0021,0.8492407180472294,0.8480521769786709,-1.0,0.8480521769786709
Case-0022,0.8225719151407941,0.8215435366729629,-1.0,0.8215435366729629
Case-0023,0.8500183817385782,0.8539129728852086,-1.0,0.8539129728852086
Case-0024,0.886855217147102,0.8979150275373722,-1.0,0.8979150275373722
Case-0025,0.8069145444100992,0.8094284298339803,-1.0,0.8094284298339803
Case-0026,0.8280773803892763,0.8176883852691218,-1.0,0.8176883852691218
Case-0028,0.9196474169511701,0.9268216156203992,-1.0,0.9268216156203992
Case-0029,0.8474812775433882,0.8552055741103305,-1.0,0.8552055741103305
Case-0030,0.8524835649843763,0.8611393980538583,-1.0,0.8611393980538583
Case-0031,0.8385795641737657,0.8375182942577554,-1.0,0.8375182942577554
Case-0032,0.7822848405417213,0.7933375956260058,-1.0,0.7933375956260058
