,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0000,0.8773650162059606,0.8682816200377313,-1.0,0.8682816200377313
Case-0001,0.6431395915714209,0.6477285328799024,-1.0,0.6477285328799024
Case-0002,0.9245852013641416,0.920625642943982,-1.0,0.920625642943982
Case-0003,0.3680238521975359,0.3526222464707086,-1.0,0.3526222464707086
Case-0004,0.7984395092956584,0.8256784067158378,-1.0,0.8256784067158378
Case-0005,0.8874312077656843,0.899648334886874,-1.0,0.899648334886874
Case-0006,0.8179940149802565,0.8190700199022978,-1.0,0.8190700199022978
Case-0007,0.8943372547070464,0.9020442930153322,-1.0,0.9020442930153322
Case-0008,0.8194180749295215,0.8250658542003871,-1.0,0.8250658542003871
Case-0009,0.8059634395488474,0.8050753155109241,-1.0,0.8050753155109241
Case-0010,0.9103657238172976,0.9222275436355896,-1.0,0.9222275436355896
Case-0011,0.8331759521561222,0.8210919195771809,-1.0,0.8210919195771809
Case-0012,0.8891192329229085,0.8980670835702104,-1.0,0.8980670835702104
Case-0013,0.8242613933892159,0.825023264926287,-1.0,0.825023264926287
Case-0014,0.7991738880159309,0.8272362520651404,-1.0,0.8272362520651404
Case-0015,0.8108776858282201,0.8210650577124868,-1.0,0.8210650577124868
Case-0016,0.912579167884634,0.9150111205423817,-1.0,0.9150111205423817
Case-0017,0.8571540103055223,0.8440101684143629,-1.0,0.8440101684143629
Case-0018,0.8040553746837846,0.7996401534440031,-1.0,0.7996401534440031
Case-0019,0.7514211096934955,0.7558487536041462,-1.0,0.7558487536041462
Case-0020,0.7036801772087985,0.6948744927100556,-1.0,0.6948744927100556
Case-0021,0.8163911376597064,0.8133163088872929,-1.0,0.8133163088872929
Case-0022,0.7859989977610533,0.782314629258517,-1.0,0.782314629258517
Case-0023,0.8053801447372098,0.7954400713284931,-1.0,0.7954400713284931
Case-0024,0.841095962283667,0.8560417702635504,-1.0,0.8560417702635504
Case-0025,0.7707112766432318,0.7635836805482118,-1.0,0.7635836805482118
Case-0026,0.9210081609799964,0.9143036593150884,-1.0,0.9143036593150884
