,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0346,0.916486532595674,0.9033222966363158,-1.0,-1.0
Case-0347,0.9265899951821942,0.925068639414277,-1.0,-1.0
Case-0348,0.6523536274274486,0.6499646518204313,-1.0,-1.0
Case-0349,0.8859589009995676,0.8931561783888595,-1.0,-1.0
Case-0350,0.8713462790625568,0.8799229152067274,-1.0,-1.0
Case-0351,0.8913551401869159,0.8890213090527721,-1.0,-1.0
Case-0352,0.8655950214991345,0.8656698074559607,-1.0,-1.0
Case-0353,0.889539193753564,0.8788078094710606,-1.0,-1.0
Case-0354,0.8828039739381172,0.8800684931506849,-1.0,-1.0
Case-0355,0.7988958208011113,0.7926246861306682,-1.0,-1.0
Case-0356,0.9139405538359496,0.9088189698465032,-1.0,-1.0
Case-0357,0.8947536635897652,0.8973361801636928,-1.0,-1.0
Case-0358,0.8959561427920862,0.8848935215201237,-1.0,-1.0
Case-0359,0.8948439109710558,0.8938778207288466,-1.0,-1.0
Case-0360,0.9215035485512884,0.9246063111813704,-1.0,-1.0
Case-0361,0.8843682440096573,0.8828352161685495,-1.0,-1.0
Case-0362,0.7321219104100796,0.7288328975516996,-1.0,-1.0
Case-0363,0.9197256502535996,0.9177118507798682,-1.0,-1.0
Case-0364,0.8963242955314391,0.8901731420879172,-1.0,-1.0
Case-0365,0.9096821467622404,0.9069935982606596,-1.0,-1.0
Case-0366,0.8943678436589785,0.8938994584751042,-1.0,-1.0
Case-0367,0.9288182593856656,0.9286334265599384,-1.0,-1.0
Case-0368,0.9093191463551136,0.9062721753528346,-1.0,-1.0
Case-0369,0.891998239233862,0.8964720194647202,-1.0,-1.0
Case-0370,0.916957186804374,0.9186235103307242,-1.0,-1.0
Case-0371,0.902268011201817,0.9020893269820308,-1.0,-1.0
Case-0372,0.8748941030687982,0.8737572562887836,-1.0,-1.0
Case-0373,0.8484331035474818,0.8434493547125538,-1.0,-1.0
Case-0374,0.8940184365932691,0.9010196905766528,-1.0,-1.0
Case-0375,0.8955521931955014,0.8909305760709009,-1.0,-1.0
Case-0376,0.915223020662757,0.9189052489603236,-1.0,-1.0
Case-0377,0.9177864231424806,0.9206489675516224,-1.0,-1.0
Case-0378,0.928340164431402,0.928930503856633,-1.0,-1.0
Case-0379,0.8916794921123509,0.8972016377355937,-1.0,-1.0
Case-0380,0.8871053712155909,0.8970763162837287,-1.0,-1.0
Case-0381,0.902779607052666,0.9087651598676956,-1.0,-1.0
Case-0382,0.9067354628331692,0.9078170164634912,-1.0,-1.0
Case-0383,0.8193121771837736,0.827630477253698,-1.0,-1.0
Case-0384,0.8790380602277242,0.8719329064430215,-1.0,-1.0
Case-0385,0.9210961616867609,0.9276009791921664,-1.0,-1.0
Case-0386,0.8947737347773279,0.8960803970951414,-1.0,-1.0
Case-0387,0.8706057282895142,0.8698711990439517,-1.0,-1.0
Case-0388,0.9039693597646312,0.9049446494464944,-1.0,-1.0
Case-0389,0.8935160200072962,0.8938192586931601,-1.0,-1.0
Case-0390,0.8899186572058557,0.8996391948347893,-1.0,-1.0
Case-0391,0.9104109182372544,0.9129679660362794,-1.0,-1.0
Case-0392,0.8919446332504194,0.8909563825530212,-1.0,-1.0
Case-0393,0.903383028925411,0.9017547492106216,-1.0,-1.0
Case-0394,0.906066502261102,0.9090409040904092,-1.0,-1.0
Case-0395,0.8968722556483746,0.8881291657090324,-1.0,-1.0
Case-0396,0.8889757581058624,0.8799948715757083,-1.0,-1.0
Case-0397,0.9022219623124996,0.9067305268464836,-1.0,-1.0
Case-0398,0.8919895920297389,0.8933056619838229,-1.0,-1.0
Case-0399,0.9163124605562049,0.9142587939698492,-1.0,-1.0
Case-0400,0.8285034890846069,0.8309997685720898,-1.0,-1.0
Case-0401,0.9220245058024557,0.9267238513199016,-1.0,-1.0
Case-0402,0.894348381774976,0.8994150269695358,-1.0,-1.0
Case-0403,0.9136605969491122,0.9188699945145364,-1.0,-1.0
Case-0404,0.9043442490213852,0.9083239926847974,-1.0,-1.0
Case-0405,0.9148632495933171,0.91743247655922,-1.0,-1.0
Case-0406,0.8811251479886061,0.8764695917330171,-1.0,-1.0
Case-0407,0.8403276403516025,0.8403329752953813,-1.0,-1.0
Case-0408,0.922356733707418,0.9228855721393034,-1.0,-1.0
Case-0409,0.8768201617181423,0.8793061048834969,-1.0,-1.0
Case-0410,0.8144963915312144,0.8510753200546396,-1.0,-1.0
Case-0411,0.901764467090344,0.8997552291944815,-1.0,-1.0
Case-0412,0.8034912040102147,0.8226121604536225,-1.0,-1.0
Case-0413,0.9141442599323044,0.9085481173890502,-1.0,-1.0
Case-0414,0.908899426750463,0.9146602137527728,-1.0,-1.0
Case-0415,0.906430459260332,0.8998840075395099,-1.0,-1.0
Case-0416,0.9085454674180424,0.9028800072632474,-1.0,-1.0
Case-0417,0.8974689956659601,0.901150523721834,-1.0,-1.0
Case-0418,0.8278454234222595,0.8238880302249699,-1.0,-1.0
Case-0419,0.8799507478988879,0.8746078319297844,-1.0,-1.0
Case-0420,0.8975848456407575,0.8925308543035743,-1.0,-1.0
Case-0421,0.8875022021283462,0.8739449742409295,-1.0,-1.0
Case-0422,0.9024977696207462,0.8985253402072455,-1.0,-1.0
Case-0423,0.8984338352442008,0.891915737388805,-1.0,-1.0
Case-0424,0.8928399900929326,0.889501633986928,-1.0,-1.0
Case-0425,0.9101191039809542,0.9158513766372628,-1.0,-1.0
Case-0426,0.9222596860097156,0.9201781923781104,-1.0,-1.0
Case-0428,0.9298467378713172,0.9332156085795504,-1.0,-1.0
Case-0429,0.9231585297010252,0.9238205541178812,-1.0,-1.0
Case-0430,0.9226981032451972,0.9173454731358179,-1.0,-1.0
Case-0431,0.863357234853657,0.8653384119542924,-1.0,-1.0
Case-0434,0.9042421350952191,0.9029327520007212,-1.0,-1.0
Case-0435,0.9253045283649752,0.9185936240166772,-1.0,-1.0
Case-0436,0.9078510079155218,0.9031612357520612,-1.0,-1.0
Case-0437,0.8662015379594268,0.8563265910577433,-1.0,-1.0
Case-0438,0.9048380329354979,0.9133407515652022,-1.0,-1.0
Case-0439,0.9274375901744688,0.9278021877729828,-1.0,-1.0
Case-0440,0.9147701485437952,0.9225219573400252,-1.0,-1.0
Case-0441,0.9094185487746276,0.912809990627454,-1.0,-1.0
Case-0442,0.9049879582468221,0.90909276846404,-1.0,-1.0
Case-0444,0.9168462946553136,0.9102329077864528,-1.0,-1.0
Case-0445,0.8974780239075929,0.8950132467059466,-1.0,-1.0
Case-0446,0.8972783580478569,0.9,-1.0,-1.0
Case-0447,0.9208372812883688,0.921279568338392,-1.0,-1.0
Case-0448,0.8412659760481878,0.8377852276413972,-1.0,-1.0
Case-0449,0.9097140169972008,0.9061555075593952,-1.0,-1.0
Case-0450,0.9036131952249324,0.9063006318200452,-1.0,-1.0
Case-0451,0.936487486425154,0.9351506247352817,-1.0,-1.0
Case-0452,0.9359214451167498,0.9316130442842137,-1.0,-1.0
Case-0453,0.9263545766933964,0.9266053297073364,-1.0,-1.0
Case-0454,0.8723758738516837,0.8735736340448382,-1.0,-1.0
Case-0455,0.9064965100915654,0.9094031537161656,-1.0,-1.0
Case-0456,0.7689040150962545,0.782649428517894,-1.0,-1.0
Case-0457,0.8751620143158088,0.8704740923597417,-1.0,-1.0
