,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0346,0.916234333053346,0.9016888921453692,-1.0,-1.0
Case-0347,0.8345991980424287,0.8330574603925278,-1.0,-1.0
Case-0348,0.2886707527672069,0.28478427367883585,-1.0,-1.0
Case-0349,0.8356436394405773,0.8374608776020334,-1.0,-1.0
Case-0350,0.8508481992213016,0.8545502109152742,-1.0,-1.0
Case-0351,0.8612530363899659,0.8505784209798589,-1.0,-1.0
Case-0352,0.675406238560006,0.6731579114024255,-1.0,-1.0
Case-0353,0.8157960971189825,0.8037204939815539,-1.0,-1.0
Case-0354,0.8342175781509259,0.823348593852191,-1.0,-1.0
Case-0355,0.6166682828875323,0.6235981127697424,-1.0,-1.0
Case-0356,0.8939316585734662,0.8830947791494074,-1.0,-1.0
Case-0357,0.8900083890508748,0.8931468115187142,-1.0,-1.0
Case-0358,0.8442470899905051,0.8347095936166264,-1.0,-1.0
Case-0359,0.8909556374191793,0.8826098042965513,-1.0,-1.0
Case-0360,0.8481932259364632,0.8473978401259022,-1.0,-1.0
Case-0361,0.830498237228937,0.8211646837820914,-1.0,-1.0
Case-0362,0.3853427364668501,0.3801984586216236,-1.0,-1.0
Case-0363,0.8967994285168635,0.8894902502686933,-1.0,-1.0
Case-0364,0.8139384209935155,0.8008757478539842,-1.0,-1.0
Case-0365,0.8180498085707851,0.8104791377654466,-1.0,-1.0
Case-0366,0.8386035091889322,0.8307238193018479,-1.0,-1.0
Case-0367,0.8901238132345892,0.876316022294966,-1.0,-1.0
Case-0368,0.8809925182873073,0.8739844263064077,-1.0,-1.0
Case-0369,0.8285753728810634,0.8188939256572982,-1.0,-1.0
Case-0370,0.9262535624051256,0.9246564290132588,-1.0,-1.0
Case-0371,0.8201483256510852,0.8084661721919436,-1.0,-1.0
Case-0372,0.8714750225154099,0.8619793278455159,-1.0,-1.0
Case-0373,0.8382460280629913,0.8312849573152782,-1.0,-1.0
Case-0374,0.8401309797311075,0.8401853548143757,-1.0,-1.0
Case-0375,0.5589732192465829,0.5727867590454195,-1.0,-1.0
Case-0376,0.8431950786918346,0.8367420349434738,-1.0,-1.0
Case-0377,0.6894276142126636,0.6812705823502438,-1.0,-1.0
Case-0378,0.9250310012145284,0.9146573836570172,-1.0,-1.0
Case-0379,0.9031263492115956,0.9071939391960292,-1.0,-1.0
Case-0380,0.8580416660396949,0.8606259314456036,-1.0,-1.0
Case-0381,0.8445195756030816,0.8345024469820554,-1.0,-1.0
Case-0382,0.8282996967350286,0.8251854349291976,-1.0,-1.0
Case-0383,0.8640279738961187,0.85788675429727,-1.0,-1.0
Case-0384,0.8221011606492783,0.8203202105494023,-1.0,-1.0
Case-0385,0.8965938314899741,0.8909524620889419,-1.0,-1.0
Case-0386,0.8061332885873614,0.8028937233267409,-1.0,-1.0
Case-0387,0.7207132123193559,0.7139031995661606,-1.0,-1.0
Case-0388,0.9044544449498676,0.8954953279717354,-1.0,-1.0
Case-0389,0.9068596956732106,0.8982846421870813,-1.0,-1.0
Case-0390,0.8510605829391119,0.8383196540464213,-1.0,-1.0
Case-0391,0.8696986759176853,0.8665985830088722,-1.0,-1.0
Case-0392,0.8467502495379632,0.8382211538461538,-1.0,-1.0
Case-0393,0.7886924698041201,0.7774975665870277,-1.0,-1.0
Case-0394,0.8723015291708396,0.8624786972164363,-1.0,-1.0
Case-0395,0.7567563617229636,0.7470134974401407,-1.0,-1.0
Case-0396,0.7532340071255758,0.7378637429320094,-1.0,-1.0
Case-0397,0.8099886622613635,0.800332658374313,-1.0,-1.0
Case-0398,0.8812273203773889,0.8744961991735115,-1.0,-1.0
Case-0399,0.8587309481848292,0.8510165726977619,-1.0,-1.0
Case-0400,0.7296482728361624,0.7322574945520938,-1.0,-1.0
Case-0401,0.8538745193364354,0.8633525310700212,-1.0,-1.0
Case-0402,0.7739752475442585,0.7715146569581319,-1.0,-1.0
Case-0403,0.8796706623467804,0.8699439633214467,-1.0,-1.0
Case-0404,0.9144470607613608,0.9134900843130268,-1.0,-1.0
Case-0405,0.8446495161102571,0.8453770102261637,-1.0,-1.0
Case-0406,0.857598230876189,0.8515080706817276,-1.0,-1.0
Case-0407,0.625048987044292,0.6188794153471376,-1.0,-1.0
Case-0408,0.8841646547148165,0.8802864357704071,-1.0,-1.0
Case-0409,0.8823209738889266,0.8723010054881224,-1.0,-1.0
Case-0410,0.7070118792720577,0.7035974120786446,-1.0,-1.0
Case-0411,0.7405652558293734,0.7397321032555664,-1.0,-1.0
Case-0412,0.6310835069020947,0.640426084697324,-1.0,-1.0
Case-0413,0.9034718493145356,0.8951622698487927,-1.0,-1.0
Case-0414,0.8817357448649364,0.8702955480733259,-1.0,-1.0
Case-0415,0.7879379335841507,0.7744544661041606,-1.0,-1.0
Case-0416,0.8843154089471306,0.8723707849864769,-1.0,-1.0
Case-0417,0.8773321448324906,0.8747141163017238,-1.0,-1.0
Case-0418,0.6967364979413901,0.7053458491445309,-1.0,-1.0
Case-0419,0.8640337321736059,0.8598225065657634,-1.0,-1.0
Case-0420,0.8535043887151422,0.8438772937386189,-1.0,-1.0
Case-0421,0.7968814299814662,0.7974537798539377,-1.0,-1.0
Case-0422,0.8850627277150659,0.8776333143544911,-1.0,-1.0
Case-0423,0.862554662966065,0.8505401083480191,-1.0,-1.0
Case-0424,0.7940452760393771,0.7829117935127038,-1.0,-1.0
Case-0425,0.8849245073885504,0.8824053685645381,-1.0,-1.0
Case-0426,0.9190112893255684,0.9155253533357081,-1.0,-1.0
Case-0428,0.8418259839184448,0.8412735318964247,-1.0,-1.0
Case-0429,0.9197369839213028,0.9168495582643704,-1.0,-1.0
Case-0430,0.8902812723440892,0.8859169790988483,-1.0,-1.0
Case-0431,0.7789632295937112,0.7662609940683166,-1.0,-1.0
Case-0434,0.8691632677161778,0.8613491137194896,-1.0,-1.0
Case-0435,0.8736681873409596,0.8645177308877661,-1.0,-1.0
Case-0436,0.9175186671554536,0.9150017416401274,-1.0,-1.0
Case-0437,0.8082679735229022,0.7953533545768039,-1.0,-1.0
Case-0438,0.8680412495513402,0.8662008483618289,-1.0,-1.0
Case-0439,0.8819709675776631,0.8727424383145117,-1.0,-1.0
Case-0440,0.8975381258716092,0.8974358974358975,-1.0,-1.0
Case-0441,0.8974666898515443,0.897869735553379,-1.0,-1.0
Case-0442,0.915660142891943,0.9123890260997264,-1.0,-1.0
Case-0444,0.8743030476860966,0.8674377834758901,-1.0,-1.0
Case-0445,0.7665573602614449,0.7771250301868381,-1.0,-1.0
Case-0446,0.8249980778348732,0.8185224568332574,-1.0,-1.0
Case-0447,0.882101755788494,0.8812973484848485,-1.0,-1.0
Case-0448,0.6990491348911239,0.6877508288256848,-1.0,-1.0
Case-0449,0.8877359180233576,0.8849923647856813,-1.0,-1.0
Case-0450,0.8416042202295102,0.8450201309071279,-1.0,-1.0
Case-0451,0.8717438702005627,0.8751621403102624,-1.0,-1.0
Case-0452,0.9273599779170936,0.9193301986900362,-1.0,-1.0
Case-0453,0.8774271743335272,0.8767316985860032,-1.0,-1.0
Case-0454,0.8141766856786845,0.7979215152132646,-1.0,-1.0
Case-0455,0.8948431740038535,0.8902975995932745,-1.0,-1.0
Case-0456,0.8994635924292449,0.8978174603174603,-1.0,-1.0
Case-0457,0.8370056910989978,0.8300106219756874,-1.0,-1.0
Case-0458,0.8505214855618503,0.8488825669502421,-1.0,-1.0
Case-0459,0.8919998075111187,0.8839834091090373,-1.0,-1.0
Case-0460,0.871333866727626,0.8787329660771238,-1.0,-1.0
Case-0461,0.9072153863453736,0.90305090022311,-1.0,-1.0
Case-0462,0.8625591332531715,0.859062511220423,-1.0,-1.0
Case-0463,0.8802902675597859,0.8731002289151218,-1.0,-1.0
Case-0464,0.4300293124574004,0.5130872279194195,-1.0,-1.0
Case-0465,0.8758283787426444,0.8658772353794103,-1.0,-1.0
Case-0466,0.9015796127126736,0.893120167955212,-1.0,-1.0
Case-0467,0.8234377077748928,0.8368178011356214,-1.0,-1.0
Case-0468,0.8763937562580458,0.8752264075643151,-1.0,-1.0
Case-0469,0.7658765139368592,0.7706131078224101,-1.0,-1.0
Case-0470,0.8889297069963644,0.9069505825632784,-1.0,-1.0
Case-0471,0.921455181435559,0.9191044508255564,-1.0,-1.0
Case-0472,0.8173622565515843,0.8175055783301334,-1.0,-1.0
Case-0473,0.9167084928490032,0.9151678945818528,-1.0,-1.0
Case-0474,0.8694743649956499,0.8762128335915835,-1.0,-1.0
Case-0475,0.8713063773781395,0.8685282140779523,-1.0,-1.0
Case-0476,0.8565535661761218,0.8646718291857755,-1.0,-1.0
Case-0477,0.8660127390265102,0.8782775934462812,-1.0,-1.0
Case-0478,0.9011867891918977,0.8985368414146053,-1.0,-1.0
Case-0479,0.8633046338559798,0.8598384541903967,-1.0,-1.0
Case-0480,0.9273058392364449,0.9267455306433622,-1.0,-1.0
Case-0481,0.8424195681781609,0.8529211325196704,-1.0,-1.0
Case-0482,0.8420149269055116,0.8356139342978012,-1.0,-1.0
Case-0483,0.8263613947706357,0.8146537984770674,-1.0,-1.0
Case-0484,0.9255759260125596,0.9239745853738462,-1.0,-1.0
Case-0485,0.8758366423513968,0.8751996669215464,-1.0,-1.0
Case-0486,0.9171015225520872,0.9119875437085292,-1.0,-1.0
Case-0487,0.8783578444306429,0.8653794847405724,-1.0,-1.0
Case-0488,0.8745681048368968,0.8694164705882353,-1.0,-1.0
Case-0489,0.7915871624293057,0.7896262343702605,-1.0,-1.0
Case-0490,0.9103523562757296,0.9003845894843957,-1.0,-1.0
Case-0491,0.8878297575814427,0.8763368862579896,-1.0,-1.0
Case-0492,0.8300969344904815,0.8237934652278177,-1.0,-1.0
Case-0493,0.7361372682343005,0.7662872740382141,-1.0,-1.0
Case-0494,0.8836840888287576,0.8834885174705533,-1.0,-1.0
Case-0495,0.904278101233604,0.9074610103162014,-1.0,-1.0
Case-0496,0.8795441502687311,0.8793258119901854,-1.0,-1.0
Case-0497,0.8991698060867465,0.8954094274895472,-1.0,-1.0
Case-0498,0.8604976729524764,0.8565320782383085,-1.0,-1.0
Case-0499,0.7367298960126273,0.7403122287630709,-1.0,-1.0
Case-0500,0.9071591571038856,0.9057327166504382,-1.0,-1.0
Case-0501,0.8804118303521674,0.8793653533842278,-1.0,-1.0
Case-0502,0.8358674999999999,0.8333315393474915,-1.0,-1.0
