,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0346,1.2636346175230741e-06,1.2993425326784649e-05,20481.896884810256,8272.011182294182
Case-0347,0.3870805957981727,0.3765827119904499,42825.023549322184,2211.0827664291533
Case-0348,0.14152391039954013,0.20402201728550048,23661.554978487784,1518.6289869484249
Case-0349,0.5006129552172117,0.5224314463928446,44184.77815945215,3095.420165341048
Case-0350,0.46910922436429797,0.6211238218576876,40399.691186938544,2352.5581820647917
Case-0351,0.3947890047383417,0.3255251750583528,22963.015394324848,1624.024630355094
Case-0352,0.21217180671444447,0.23068447120944335,29387.500029774565,2061.145797851282
Case-0353,0.2762581136162397,0.2924565584470019,34797.45686109834,2351.1399362862257
Case-0354,0.19934970808098387,0.23007690747127496,20668.958682042983,1444.1748509096815
Case-0355,0.1490157080061066,0.14629558643928792,25259.539386140834,1778.2868160114106
Case-0356,0.4705979365843639,0.4961297502782328,46359.08877447873,2780.8685693502307
Case-0357,0.3612986721934536,0.3965820347536984,38336.68266817044,2692.2791460025087
Case-0358,0.2532741143146217,0.2683162542697659,27101.456529124043,1689.5141313407237
Case-0359,0.3688642350702562,0.4071390023899468,36128.7468506728,2223.275061705141
Case-0360,0.21834201247249427,0.21442198221483735,22481.15835538729,1504.9817274638253
Case-0361,0.18451019861369994,0.17928053623174264,27966.851485285213,2165.5578957857488
Case-0362,0.1265791173260785,0.12547537786445634,25973.77396529045,1708.3421788388882
Case-0363,0.2816701653726059,0.31964629890086993,31880.20119133504,1985.9249734065988
Case-0364,0.20472688460402536,0.2094243705765059,30043.454012479986,2120.1009409931407
Case-0365,0.13562802711558225,0.08419597694388896,18250.920579521466,1186.3591361809458
Case-0366,0.3071922069271539,0.3464642294122063,22890.96734522156,1387.9185855085307
Case-0367,0.15979971366144258,0.1495913850344769,16941.77942248098,1082.5608527930428
Case-0368,0.4214119891964736,0.4389901256278868,45135.549503689435,3247.732131811366
Case-0369,0.2430879312135191,0.3072038020066146,28810.205136374854,2063.0186620581017
Case-0370,0.6205432676999325,0.519835471126265,49443.666955435256,3601.158702417876
Case-0371,0.2433506385454965,0.2847960629334129,29929.17683465417,1923.5313878385248
Case-0372,0.2437387979130213,0.31848597960670066,20941.53447099806,1331.1656546050158
Case-0373,0.36850838320992,0.4285153343804249,29024.929491731764,1849.6580765103588
Case-0374,0.168388977955317,0.19115763041918624,25211.60764409917,1764.0260769047604
Case-0375,0.14362612293520155,0.1570201907693554,25658.96761368236,1763.356175025341
Case-0376,0.2792094124162667,0.33638737941783564,21114.916504689285,1516.083440975463
Case-0377,0.2189533198794434,0.2438337822005143,23210.505595527207,1545.3595050990564
Case-0378,0.3798783382358247,0.4593411781797051,29821.998692240602,1837.3445512478054
Case-0379,0.3438341500592677,0.4048330878385276,35825.19716624041,2013.1741107018038
Case-0380,0.1613589129710769,0.16520781231392165,24526.919537520404,1554.428512347866
Case-0381,0.19308639928471824,0.2725024048371581,24003.330143961273,1474.2225069506976
Case-0382,0.27955908342210906,0.2504140942629122,17012.558361398795,1156.8673216925094
Case-0383,0.2536634657817376,0.2821243717650589,26386.6373189158,1636.4718146060445
Case-0384,0.30567122315237244,0.3956574518567566,24385.874804894742,1156.419474066396
Case-0385,0.1626230349837717,0.12405048220026195,25774.96133847731,1780.5984948887271
Case-0386,0.3721526226852887,0.3782244629071072,41568.417747131054,2794.726283556227
Case-0387,0.21162997429609132,0.2285590176613305,32981.864622849935,2152.2230367691914
Case-0388,0.4769132896009996,0.445619335347432,16691.771236151064,1176.3354113517114
Case-0389,0.21414597359447407,0.2260183821889082,29819.519798279784,1972.0910222400994
Case-0390,0.13462713477443508,0.12644728218775445,18887.41737242019,1127.1716816882865
Case-0391,0.4535474430099794,0.5819254605654129,17933.96554028138,1163.6309552431132
Case-0392,0.3049243946302061,0.28566047576275605,35067.76579709634,2439.399311305962
Case-0393,0.23988774889260744,0.13101495242410513,25594.796717301742,1748.9799884504114
Case-0394,0.3801158779422328,0.4577825670498084,26011.72599040671,1357.8530848365006
Case-0395,0.2597901711027248,0.30282460690549523,25379.023365764097,1492.4014205300127
Case-0396,0.18272398927048603,0.1808384927767792,29826.69302822557,2083.5505753400853
Case-0397,0.1767740015303637,0.21739998004589445,19208.73889665847,1265.325254628232
Case-0398,0.3087672224399331,0.39139503965525146,27474.384542697222,1631.3322776185114
Case-0399,0.2286599279428301,0.2453538241601144,21573.456120890783,1344.8182033271264
Case-0400,0.265644528174292,0.2897444123623142,22728.43718780506,1607.6803164808605
Case-0401,0.17603974685421492,0.20203417298852985,26512.952344090238,2111.194448647495
Case-0402,0.11995621594897544,0.13565300075184644,24175.104136280366,1492.6597066980805
Case-0403,0.21895072124934212,0.2314151872454819,23610.859958925685,1567.0188256686645
Case-0404,0.2360287808661073,0.3048748283511144,27324.93394319554,1845.3362837163315
Case-0405,0.22977751076356426,0.26604973212052596,28163.322602278306,1809.9850828114581
Case-0406,0.3608057921689386,0.3181009779286603,42342.93853761215,6349.953149433467
Case-0407,0.20340900649466065,0.16604031951312287,23607.4707666874,1650.3554162664475
Case-0408,0.20449663528664025,0.23683490644623206,23859.38205402646,14004.473356752836
Case-0409,0.19898834394016046,0.2599514004800972,19980.50832686696,10177.450220954166
Case-0410,0.2606105814693621,0.2449742721084087,34306.22628620059,2399.567044281114
Case-0411,0.10351796696338447,0.12922615786250685,19519.23161909813,1268.7013044842352
Case-0412,0.2129338280329225,0.2487027559756344,34067.30190373168,2293.699195622652
Case-0413,0.4632193398224127,0.4618885749940666,47183.40521836041,26366.931201791384
Case-0414,0.2401796254789236,0.2644606942914065,32883.77073877022,2192.53916726703
Case-0415,0.11951276835123605,0.11450617283950618,23362.7247554732,1630.0245396925775
Case-0416,0.3096504631840321,0.3263724738601759,23337.03813683304,13676.181045891431
Case-0417,0.24296354625073185,0.2676711443444134,33607.71865211919,15548.512436886045
