,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0000,0.7083262851235786,0.7153619803295206,7386.569636847676,13398.930405073384
Case-0001,0.7424710257324252,0.7435115172393659,6051.378685886381,13727.01839439286
Case-0002,0.7767967982127745,0.7717217484008528,5514.023576300703,8807.226124041554
Case-0003,0.7880721996343265,0.7876098566610759,13554.049173586467,13534.23558979228
Case-0004,0.7332875977718407,0.7235836330935251,13724.582835190293,10225.344786362952
Case-0005,0.7559709858539412,0.7444444444444445,5898.1547962053355,11521.202714994646
Case-0006,0.8754167496161441,0.8777129698574225,8037.529968839929,8698.333518554
Case-0007,0.8728945734763716,0.8696941870782692,9805.37806512324,10486.82683179235
Case-0008,0.9072769909615852,0.9049055086449538,7355.892128083446,5694.1868602988425
Case-0009,0.8971585367602766,0.8976077228945686,9297.020221554862,9765.921154709373
Case-0010,0.7718924267187456,0.7626625598904859,5646.950061759001,11219.761182841636
Case-0011,0.8618653520121353,0.8667151338907064,5523.917722051986,6221.915219608831
Case-0012,0.8067563282345672,0.7407357358918121,7241.740467594789,4640.33500945783
Case-0013,0.899876959335927,0.8984782427301932,9938.200239479984,9981.713029335197
Case-0014,0.7573450508139348,0.7505304956194718,4117.191639940993,5842.453594167437
Case-0015,0.6673237709860249,0.6433280645563828,6935.779768706616,6530.452664249239
Case-0016,0.6683768592492227,0.6610078597643747,10579.90425287488,14995.361082681535
Case-0017,0.8842177467417828,0.8849040067921015,5791.889156397937,5096.655570077303
Case-0018,0.8402501689469188,0.8160170957565892,8345.055781718898,6135.390859594848
Case-0019,0.7151207269485005,0.7178761260001119,7232.379967894386,16021.914960453383
Case-0020,0.8937269030830203,0.8990167072746258,8874.961352028526,9653.60026104251
Case-0021,0.8673698449839135,0.8635339366847966,8753.327081744404,10509.968696432923
Case-0022,0.8871843895264858,0.8865258141382049,8798.219365303414,7937.735571307476
Case-0023,0.8286770828714037,0.8290416579941126,5044.569357239526,5181.604095258533
Case-0024,0.842197756300781,0.8422925963761493,6909.512356165231,11780.250803781726
Case-0025,0.4696117648482155,0.3088453459849297,10769.430672045759,17649.548747772562
Case-0026,0.7548310149987566,0.7534617948161073,9307.621769281346,12577.23184965595
Case-0028,0.8364036281179138,0.8273911883983337,6958.561273711686,10039.302864243116
Case-0029,0.7627288230449779,0.7677806169980569,9301.888410425056,13535.253968803096
Case-0030,0.8735564423128865,0.8791570019780001,5496.448216803285,7809.898654912239
Case-0031,0.7372835643777982,0.7317752416316278,7203.3402668484305,10939.152023808792
Case-0032,0.7714351181769924,0.7508923962349117,11655.378887020359,6667.3382995015345
Case-0033,0.8487176398132333,0.8482249891020053,8586.953941881837,13536.638098139434
Case-0034,0.8700972510038952,0.8688213042820396,9851.49947977464,5899.213761171906
Case-0035,0.8265824185871924,0.8244160853174718,10439.038748850395,15775.712630496284
Case-0036,0.9087065709167236,0.9079093987639356,10103.64726225139,11797.731519237075
Case-0037,0.8494421924414236,0.8421367033492188,5677.066495999497,5730.826118457966
Case-0038,0.8019857837781593,0.8008925944090242,6462.081243686123,8769.5714832596
Case-0039,0.8141333225289259,0.8192011107337636,10624.717972727558,6406.363320948945
Case-0040,0.6966538814729307,0.7092318452034037,8396.470568042265,12022.124021985466
Case-0041,0.8344898194818956,0.8421463570581038,10075.781954766588,11228.963576394752
Case-0042,0.7979258845681233,0.7897644012454013,13505.209106119017,16708.83538730333
Case-0043,0.8241576719734117,0.8172838257968303,10794.133777195833,17277.335326953635
Case-0044,0.7466857753275505,0.7509929865313167,10081.261379410811,19358.408328165824
Case-0045,0.8511168829231175,0.8266096887934999,12365.702325383709,7484.057121641978
Case-0046,0.751144709852445,0.7473837093629382,4685.506055913278,6609.6182189291385
Case-0047,0.8849917746883668,0.8805907121349359,9599.850623837852,9060.754493970135
Case-0048,0.8413634005188585,0.8381393289572465,6649.925413115549,7192.0712593800135
Case-0049,0.8597522974899814,0.8599674153380659,5706.052926498315,6851.674612822766
Case-0050,0.8460302790868302,0.8511271907036864,10826.074773434737,6826.492730531543
Case-0051,0.9079611643205162,0.9114561429432024,6134.582137358664,3635.2462089932783
Case-0053,0.7843852976559641,0.7808796299766861,7898.519798038112,11761.433671113398
Case-0054,0.6971746047629642,0.6919708433801723,8213.468268642671,4005.712795495953
Case-0055,0.9100116732379158,0.8989149974319466,8971.668685367287,11429.451911618507
Case-0056,0.8826176919648531,0.8834308013158177,9894.488769006712,13295.09044722901
Case-0057,0.8498395626348032,0.838381601362862,9894.452233448803,12879.957569805889
Case-0058,0.8143553865005306,0.8184223747234856,21445.447372344555,12630.496466885219
Case-0059,0.7960426987441156,0.789616529504465,9895.924918874436,9002.05993092692
Case-0060,0.6504145677135971,0.6483566603004476,15011.683549822119,18739.07961987461
Case-0061,0.8472766735337142,0.8394476304602129,9307.434340353951,7395.428858423291
Case-0062,0.8117592216725475,0.8132849981133092,6114.3409293234545,7500.438320525009
Case-0063,0.8617112879587531,0.8627482881557353,8907.52041816352,6171.0774585966765
Case-0064,0.7546929396474782,0.7587549719348666,13086.273571953172,14683.359765394294
Case-0065,0.558084684819884,0.564161778326644,7476.72254400282,16945.7227346608
Case-0066,0.7209689499199398,0.7602925684994732,10525.894023787243,9099.56064873464
Case-0067,0.7825191475684385,0.7842184436481644,8926.752208950353,13382.389136473352
Case-0068,0.7601759046773082,0.7639564412688847,9198.269130657136,13815.78687588948
Case-0069,0.8528669244273311,0.8641822677499117,5406.9880710058915,9271.30783654604
Case-0070,0.8449841829141969,0.8488406568600365,13309.638237007044,9965.657830770633
Case-0071,0.8528458467435392,0.8542824295842115,5315.809157597741,7053.547759815622
Case-0072,0.8417099351711363,0.8387132796331314,8302.920871596934,10532.95499847977
Case-0073,0.8768848550038314,0.8805345982206793,9214.797990189476,10194.64378975548
Case-0074,0.7605129946748748,0.7581518025528193,7854.7570936344055,20886.958466947744
Case-0076,0.8453443292240889,0.8557041328438142,6089.303736881582,5790.76126256298
Case-0077,0.8515513449853568,0.858015186669479,6507.740237593999,10563.305921916679
Case-0078,0.7593857387773859,0.7533556536295846,5371.42141336909,11531.024108898568
Case-0080,0.6671629539174649,0.6613315097084308,12062.136585199158,10636.199462213935
Case-0081,0.8621025182915755,0.8600089232599643,10869.107369052896,10628.197636476281
Case-0082,0.6455255714571195,0.6522370408533658,6610.11021088151,14256.725114836156
Case-0083,0.8390834348727441,0.8417645577495667,5312.977131514872,8619.871286742047
Case-0084,0.8026959422619248,0.7979183849809512,8282.561379186996,15958.56158931625
Case-0085,0.8279526349596448,0.8279061728395062,10269.692838639334,9941.511504796441
Case-0086,0.8027171629404148,0.8056921190451634,10855.070105715577,15225.415429471865
Case-0087,0.8296905311222179,0.8350117809739545,7589.176305765995,9846.253246793929
Case-0089,0.8354721457504489,0.8309567506798243,11283.606781521592,7105.811494825908
Case-0090,0.8912393363360539,0.8889413640824337,10029.520377366009,6076.154293630141
Case-0091,0.7988707131217673,0.8166713852376137,7722.728080154059,11863.199694854673
Case-0092,0.8043230014090227,0.7959090389669752,4725.322951926143,5481.568023841353
Case-0093,0.8489776698897094,0.8406304909560723,6760.4176646121505,6050.124957387244
Case-0094,0.8334735021851586,0.8310061310557465,5184.213633715339,8203.63803443326
Case-0095,0.8330586956991027,0.8374596433823851,7530.925972282558,12979.91567769221
Case-0096,0.8778335271967352,0.8668027712175116,9760.239392555904,14732.823558300019
Case-0097,0.7858794125313332,0.7990225932472779,5133.11688937628,6809.158685182773
Case-0098,0.7999723982880771,0.7992729872517432,11509.919113529859,14751.955090766785
Case-0099,0.7285538952273685,0.7338328537763485,10367.020208333734,16526.092581127577
Case-0100,0.8490188339423799,0.8563662314764283,8432.260254522509,5535.269731458441
Case-0101,0.8598534616578702,0.8644889061555728,8419.492027432534,6461.588736526025
Case-0102,0.8548830173110312,0.8564102564102564,8730.853222910118,7627.639674237372
Case-0103,0.8566283858995182,0.8546213648142816,6538.280813791956,9254.06208105392
Case-0104,0.6783905098220052,0.6771119326384658,8436.737046986827,10098.454584737212
Case-0105,0.8702409190234609,0.8652662279527813,7126.23568232205,8430.012336883025
Case-0106,0.8696335179141619,0.8684138975743334,7079.825774692482,8511.753814578991
Case-0107,0.8681057596984082,0.8442332099890957,14561.258015707295,6520.715451543641
Case-0108,0.8811935330480266,0.8753900010196105,8801.727387280294,10149.898817229658
Case-0109,0.8784376389400843,0.8885556704584626,6984.987831055972,11566.303904013592
Case-0110,0.7604920785769936,0.7625422762964115,9047.148722111291,8932.094995016567
Case-0111,0.8237605841587841,0.8192073490028277,5950.951436535171,12149.438752469185
Case-0112,0.8453819315192086,0.8551588193369847,9056.01314044983,7483.343570891289
Case-0113,0.8704791140002408,0.8698766153172227,8270.918630962344,7972.958547490386
Case-0114,0.7451608355786049,0.7304348884776468,6714.902233093197,4282.87391829365
Case-0115,0.8552288996732816,0.842855686221195,4669.9314770133415,5758.756983933252
Case-0116,0.6341404365546168,0.6456832766576521,7962.254454612714,15235.608389558982
Case-0117,0.7328666430894478,0.7318370497069314,4798.87768129174,11719.230179495578
Case-0118,0.8155572357385118,0.8145282792150773,7259.918456842335,10680.45092681016
Case-0119,0.46882274167765103,0.3978563356809388,7748.854754091084,13363.400428034773
Case-0120,0.7936390517823034,0.7986650814675327,11339.902600992657,7034.380285426711
Case-0121,0.8713254252339576,0.8705203828995859,10282.004182064897,12519.740332770483
Case-0122,0.8199033645000644,0.8254612140106363,8376.770320356169,11808.822422240075
Case-0123,0.8313093174363643,0.8299198491277701,7302.329559804871,13529.804433176409
Case-0124,0.6833881510921237,0.6799340335446443,12650.623739563202,8094.141832214209
Case-0125,0.8726611624376414,0.8714906524966116,6798.393560246421,10390.88345618408
Case-0126,0.7995022445514386,0.8064072274277123,9875.97099023686,14451.236936677771
Case-0127,0.8383913474663532,0.8351875685209018,6882.341098783175,10647.593483975617
Case-0128,0.7872362285623963,0.7952758448100489,5698.670634455022,13940.566416039199
Case-0129,0.8445864446860344,0.8461317261954685,5977.600856530988,5628.904778018545
Case-0130,0.8912534081080218,0.8875841424328623,12953.18574714344,10885.732221582524
Case-0131,0.8327905098452821,0.8332205468733479,6905.045618965887,10906.753504136783
Case-0132,0.8385999562486328,0.8368025572270448,8577.22111175875,9930.03977836947
Case-0133,0.7976209751712663,0.8052669111654441,5731.628651613779,8115.832982510175
Case-0134,0.7628108246834722,0.7710867328855348,6826.825543398629,7021.776057380355
Case-0135,0.8088211091127929,0.8104574380115768,6513.337239848708,11542.359074296726
Case-0136,0.5823441838007484,0.5654844127321693,7303.151032259979,4727.5686139917625
Case-0137,0.8403782661404731,0.8354789297004857,9173.76204182341,14531.762006033545
Case-0138,0.5668601209030164,0.5612022685741879,11357.106057442626,15424.055303324092
Case-0139,0.7846694296988106,0.7735854796187386,7877.695475200853,13854.47238259184
Case-0140,0.7392963836794512,0.7573477609592274,8863.388065519866,13346.436902784204
Case-0141,0.8642513448379386,0.8572411040714952,7229.335515799498,26126.181868003598
Case-0142,0.8233179181057465,0.8253194004987865,10862.84226158145,10296.234942929379
Case-0143,0.7203189571019858,0.7181543517892448,8445.544269021388,15125.165850330368
Case-0144,0.8681433755021504,0.8665223267231156,5133.550233512866,5275.803445921768
Case-0145,0.7856982192517118,0.7826198957158211,7917.656155706687,15471.421621816142
Case-0146,0.7281698763780454,0.7617699247122816,12033.105999699328,7750.06019331463
Case-0147,0.8227881870793725,0.821126300472179,6878.188133513069,8255.128890574635
Case-0148,0.8809068857131701,0.8841188124645558,8299.86849293409,11338.041938535947
Case-0149,0.6385162279954225,0.5510794323102696,5708.807931608841,9901.397780111654
Case-0150,0.8358118920195847,0.8299468424409951,8110.275519364308,11772.266901493527
Case-0151,0.5794832913167921,0.530147650235551,11769.539285800445,11194.482033573506
Case-0152,0.8523374935840805,0.8528546882387537,6198.341471716447,8379.634180559435
Case-0153,0.7291904044770147,0.7216700532350155,7410.391150270005,15957.945732455666
Case-0154,0.8746874428827227,0.8737876036752831,10658.859085286756,6645.710195306443
Case-0155,0.7869498793200842,0.7871619257888722,8295.764943632383,11601.76094392571
Case-0156,0.9011597079235764,0.9035987940509502,12401.040762774712,10993.5267316726
Case-0157,0.7649577479950481,0.7649670675361274,5670.998060306491,10987.217345624871
Case-0158,0.8747747514900258,0.8786181722721903,8870.822678872575,6598.847702440175
Case-0159,0.8676775391099613,0.8709990121017536,8958.061062529101,9048.685429386967
Case-0160,0.8977223480918401,0.896874426008694,7003.802395841847,14247.697673659419
Case-0161,0.7689947072879627,0.7435954995297496,13419.612140445788,8481.979073305947
Case-0162,0.8440866024183332,0.8624482109227872,14160.66001286663,10427.974539669724
Case-0163,0.8013630663662648,0.8092455552522565,17570.339979636134,11728.005329125665
Case-0164,0.847160998839978,0.8508091455719694,4526.984868541091,3350.9719485546284
Case-0165,0.42660956427336016,0.41181756671036496,8875.110759872241,54109.68885513944
Case-0166,0.7914363035646096,0.793015364947542,10281.574441689369,45971.87114964976
Case-0167,0.8929215003094862,0.8909026135467831,7776.8603562105955,6769.692829072824
Case-0168,0.8419239239207081,0.7936851079377645,7550.2651609066015,5182.551688116579
Case-0169,0.8767370420165403,0.8632394320644264,5314.108768175525,8469.63918948145
Case-0170,0.8504185257289165,0.8630494955748991,6976.993048584754,8506.820675199402
Case-0171,0.7998632271504649,0.7896583807391484,11894.044812426091,15452.445308105769
Case-0172,0.8713222928712142,0.8726622222867738,10597.452252374016,12986.579341766635
Case-0173,0.8269450146756538,0.8284530223195785,7987.371970804916,8890.826114597001
Case-0174,0.5858084044437288,0.5827766842831239,9983.336416248829,18641.761853430056
Case-0175,0.8787597153157751,0.8801225008667514,6011.672396263789,9113.35920503521
Case-0176,0.8380463784094041,0.8278028237925491,8385.558419091718,11729.71465978606
Case-0177,0.8379799470907204,0.8470554539646171,3538.588277830581,4140.692454167539
Case-0178,0.8235563405958564,0.8246825882833231,8265.32570441117,10692.296853342596
Case-0179,0.7502285182418078,0.7571353779639263,8793.072671142892,10163.080782912237
Case-0180,0.8735301597611331,0.8687044300599177,11341.913683325227,7190.297768521135
Case-0181,0.8449361727785369,0.8276982571098639,11519.154569672202,19927.622136120503
Case-0182,0.8837011980757651,0.8738416606389803,10766.485359670536,8495.674134522817
Case-0183,0.9078149689775012,0.9144823043381758,8322.211184535034,8827.107057241348
Case-0184,0.6152942286415136,0.6138041448012096,5424.8443295637535,12226.22153406358
Case-0185,0.7981134750999438,0.7932519503751677,4788.270355775664,6422.08385183501
Case-0186,0.7569727684302994,0.7544476386036961,5340.440150399591,13278.08419916066
Case-0187,0.443712301754682,0.3936180779736777,9736.353834983609,20930.378783003427
Case-0188,0.8416341274674999,0.8252680013706006,6580.622462958956,5138.237051752284
Case-0189,0.5168365163928411,0.4798950405859416,10012.576791216137,16672.70320014124
Case-0190,0.8617031523348513,0.866098063676303,5924.590365586469,10362.248983690752
Case-0191,0.853868286667735,0.8487362401354299,7758.138694300328,12311.654437970552
Case-0192,0.24699440273731854,0.2304064557824317,5949.961092309764,16512.195674712675
Case-0193,0.8676937823479449,0.8681008501641851,6124.915672888893,9468.647263469054
Case-0194,0.89559646608473,0.9005884508438773,11353.806101920183,10504.300643069959
Case-0195,0.7139535899492541,0.7123499288416392,9031.635123276405,16567.319427113125
Case-0196,0.8738679280398799,0.8745256043670393,7548.886672880975,11108.832251861579
Case-0197,0.8569172202882301,0.8495540239205351,6583.886694043268,9062.903563428225
Case-0198,0.7474250868558193,0.7427028795811519,6801.577978675243,13532.63219037597
Case-0199,0.8203871603257366,0.8114059176561049,8184.388431642282,6627.35014919236
Case-0200,0.6297475346198528,0.5922583117754144,6544.720314879774,12748.966703227363
Case-0201,0.8900214647666925,0.8921515395663292,8145.251193179986,7360.20155974006
Case-0202,0.8499834765591532,0.8550568157994046,7185.20772142323,5582.075778776208
Case-0203,0.8268270421538509,0.8177334586871754,6209.877212956791,10096.171353537935
Case-0204,0.8157115241487135,0.8147710874983602,6423.050132141271,3897.785140307249
Case-0205,0.6549774855264099,0.625477757373938,12213.088880377478,18299.415263882067
Case-0206,0.8764210548253053,0.8807983904092901,8270.511048296834,8597.5986763747
Case-0207,0.9143562986274127,0.9158311411128208,5423.777097189744,6670.563927891044
Case-0208,0.8364483846901732,0.843846498983874,6231.769331417844,9987.335330307078
Case-0209,0.8619997377822938,0.8542512929240891,7053.084502542132,11593.819172300386
Case-0210,0.7667072544147974,0.7524455687318136,5354.4414274506735,8349.086836295332
Case-0211,0.8313043432836991,0.8355188551166766,5577.614992091154,11757.62029494064
Case-0212,0.8797681252374695,0.8886613410506929,15149.647586660225,9762.484929565833
Case-0213,0.8180398844204443,0.8199901796215728,5959.920385374287,5246.336817246868
Case-0214,0.8790999042701778,0.8730663049169404,5871.376840230918,8420.121139271097
Case-0215,0.7978884769104829,0.7691430568964943,8196.49864271324,10754.63402445662
Case-0216,0.8809669360046607,0.8800156161887823,14481.748202478871,9042.534047489122
Case-0217,0.8510331625612797,0.8490580509083937,7471.266693138455,6147.086057637392
Case-0218,0.30060470013847834,0.2931628230924005,9715.795335431889,12499.810678566297
Case-0219,0.6924133242130105,0.6575540148339245,9769.272132559314,10449.063115897043
Case-0220,0.8787171857177518,0.8798304342719245,6874.583769218321,3260.682750590741
Case-0221,0.8790547591784674,0.8774244458903825,6514.086198385771,4941.813027624578
Case-0222,0.832800366626779,0.8388289629140901,4994.72031248998,5232.807277169683
Case-0223,0.8256964482451078,0.8327023404101153,7653.070233572928,11143.38889207408
Case-0224,0.883778082480751,0.8837100495297098,6025.057261138687,6379.9368335431045
Case-0225,0.7680484621398143,0.7319918422841605,8843.928425761937,5821.849963714283
Case-0226,0.8587229182966722,0.8642192018991257,5443.028017565222,5297.98876933502
Case-0227,0.8330822919077986,0.8266780501687198,9332.660713858615,7030.991324130617
Case-0228,0.7917583975055511,0.7778634502762938,5909.5790882261645,9825.99287604057
Case-0229,0.8751142833543624,0.8567728020634144,7224.351527991977,3570.822734328883
Case-0231,0.8590975148619159,0.8540377727124715,8111.4339052968935,8251.588877301147
Case-0233,0.8648252708275465,0.8672961860797695,7482.960577204721,4846.694131054693
Case-0234,0.9120876311375538,0.9109192239168634,11890.547001715271,8843.891225020805
Case-0235,0.8052468793410318,0.816637706571741,11487.281314566992,10201.215074685955
Case-0236,0.8870456868139549,0.8769296775064952,8879.6872129597,4269.171465284569
Case-0239,0.834767624877851,0.8397577615750565,11048.84924055668,10041.893944869164
Case-0240,0.7791072555335714,0.7898088499313549,7807.199241725551,11424.563011336582
Case-0241,0.8504783678034203,0.8488438326439276,14061.140245371284,8060.0580643069825
Case-0242,0.8431015798407103,0.8480735464304242,13637.698266203137,7965.3691690969345
Case-0243,0.8329363012612939,0.8394603050449746,5844.040212045088,7707.6150656347645
Case-0244,0.5469855110194924,0.4518775860301773,14499.351295833892,15117.785750565457
Case-0245,0.7827654537750522,0.7808787507654623,5131.514883540727,8268.319115757446
Case-0246,0.8724915854964557,0.8812875788238744,4454.882377796298,3329.3628519583144
Case-0247,0.8281251851764064,0.8036128105302187,7210.4416646971085,3524.474570769379
Case-0248,0.8876604803037996,0.7743889591234724,9278.652326712108,8136.06489649634
Case-0249,0.7063809803836866,0.7022383558102461,8750.493186100999,12089.406437042308
Case-0250,0.8523416323586102,0.8642649171163477,10302.758174391945,9180.217208759279
Case-0251,0.9186333405337612,0.920155725638217,9576.488865967529,8454.699107596909
Case-0252,0.910495256112338,0.9061690475989572,8714.064493679169,5218.91789550286
Case-0253,0.8307617923711543,0.8270946022231573,9164.411874201203,13838.926873135792
Case-0254,0.806172246268643,0.7979437244534966,6691.761502026204,7993.11434923835
Case-0255,0.5173930082516275,0.4213464521246996,13107.848641176779,13125.164303733496
Case-0256,0.8610555176167519,0.8736032877048426,7423.985385222683,9961.85650368444
Case-0257,0.7456517114138433,0.7214451504631979,11393.0465635843,11384.31868844157
Case-0258,0.8590613125434705,0.8509569234461243,7055.383830806089,7840.913977337082
Case-0259,0.84361867631928,0.8411675108922816,7192.087388234378,6871.407279444292
Case-0260,0.7990049604961231,0.7983765776755971,8541.133824030625,8806.915691659595
Case-0261,0.8645590676301202,0.8439769209119055,6723.8124602044045,7857.221519086756
Case-0262,0.8789708714211294,0.8810573566084788,5057.085425420457,6953.423832904189
Case-0263,0.6180776354679803,0.6222323138102018,7636.830167026107,13091.153883443583
Case-0264,0.6919595170369304,0.7009155880892727,8128.548025324079,10364.095377604634
Case-0265,0.9003582941975002,0.8930457444619709,11640.913924602311,8786.804391404108
Case-0266,0.8368147162238758,0.8344479678888236,11240.476413391028,7559.835514083623
Case-0267,0.8100073235173924,0.8127426886212828,6003.535291809319,8433.642688660695
Case-0268,0.7934633576554514,0.797395803281211,4627.863978122088,2263.345532613171
Case-0269,0.7836322639029837,0.7587303134680791,11345.332167900595,5697.7079602240065
Case-0270,0.8357705962129874,0.8231158792563471,5514.051595696217,4709.353564981079
Case-0271,0.7017550788284731,0.6990760128061383,10889.10813611473,9713.449129943492
Case-0272,0.8822025613729231,0.8861333758497238,6150.267473858354,2850.1566623608605
Case-0273,0.8816300572052395,0.8757965069783041,6832.591089769679,4667.229799356359
Case-0274,0.8169679950929001,0.81778581066449,8506.285264438291,7991.418084420311
Case-0275,0.8080266961549178,0.8029600381598474,6999.231100628125,8349.126840574409
Case-0276,0.8641513098697067,0.8620922195060271,6668.912430074337,11037.357247094975
