,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0032,0.9170689668568528,0.91877571289939,13406.433865872012,7710.319383786899
Case-0033,0.9102706293152304,0.900103144684979,8919.049949406046,10210.212828340063
Case-0034,0.9059453388732316,0.9007559426288408,10286.750993389509,6084.968282579623
Case-0035,0.9240408205060504,0.9232108662904996,10933.258571898863,12765.1921450506
Case-0036,0.9369830699005314,0.9364024193507086,9568.251303137891,9362.294483725664
Case-0037,0.8864065994301781,0.8706240679422693,5588.600450917922,3648.079220631043
Case-0038,0.8846575553777727,0.8853255322251385,7102.777273714839,7396.572719848024
Case-0039,0.9287872499198928,0.9227652822095971,11603.73207205337,7940.981992172001
Case-0040,0.8555949575550238,0.8719848920765214,8657.4226534229,5689.944990946749
Case-0041,0.8947226763333096,0.896368160053746,10301.449412582679,7924.279841095971
Case-0042,0.9201933465011612,0.9041660737816988,13972.578716901187,14350.872168617489
Case-0043,0.8835633961951636,0.8838431520644512,11481.989679493709,16147.490424211435
Case-0044,0.8923946865617324,0.8945261302935184,10309.606976019988,14926.656156018333
Case-0045,0.91260245803832,0.9138839300751121,12804.672740839573,10070.410716549748
Case-0046,0.8285147196829099,0.8244962023489509,4659.073513049563,3005.916499172922
Case-0047,0.8833587321507943,0.8785433745568147,9899.660802269944,6225.84950026902
Case-0048,0.8833810345066743,0.8812550490746845,6761.13023095991,4445.704781021789
Case-0049,0.8681699105214891,0.8628003937051414,5800.4775665457055,4619.525083815435
Case-0050,0.8954021141392234,0.8942134574305768,11718.083077022451,7167.647591783513
Case-0051,0.9022377584380066,0.8941920077118571,6056.934785846715,3739.3020739170033
Case-0053,0.9022403891044544,0.8988471774571035,8338.306902483262,4906.468077955873
Case-0054,0.7202210250824117,0.7180211134825761,8209.61418094663,3951.008352307041
Case-0055,0.9518128266493476,0.9498109398053844,9086.073464373929,6381.315224936001
Case-0056,0.8983281234553593,0.8987905042808569,10154.227641726377,12049.980622391056
Case-0057,0.9254879227389032,0.9242527601695982,10032.113835079825,10846.637390312584
Case-0058,0.9231924303027479,0.9207830236338866,21580.464012620305,15293.140880800125
Case-0059,0.8681752299080367,0.8620897462408792,9912.148808406782,6866.060952249112
Case-0060,0.8531442880311828,0.8208396380201199,15568.2491950765,9733.192847159662
Case-0061,0.912968666418812,0.9075060657684167,9874.416539725273,6443.058668055102
Case-0062,0.8842131586468315,0.8659207566757021,6215.452839496089,4098.584633748582
Case-0063,0.8815491760294508,0.8709124497686023,9050.61870813261,5731.713356405743
Case-0064,0.8807117507025843,0.8425425474866642,14904.296763014348,9575.616638107438
Case-0065,0.8392446763950052,0.8685286103542235,7246.559735488282,10532.647530417033
Case-0066,0.9148781890773708,0.9186127702345108,11387.812213063578,12879.031019451735
Case-0067,0.8524091028827935,0.8553906626022783,8717.210792449612,9859.345110097323
Case-0068,0.9086131025401506,0.9025427947163523,9942.2115748962,9253.684887654217
Case-0070,0.9325982201687744,0.9317377612002208,13635.761438218256,9567.918007591827
Case-0071,0.8852810534511903,0.8910923673240535,5528.723632087247,3485.5747015377533
Case-0072,0.8942666336321456,0.8853770251168861,8333.462905659328,7101.5950321037035
Case-0073,0.9402580072734414,0.9426068290206944,9874.167002841305,8978.715554019962
