,ROI,Original,Hausdorff_ROI,Hausdorff_Original
Case-0000,0.9049139239277928,0.9130612787996027,-1.0,-1.0
Case-0001,0.8446260710423426,0.839247469869399,-1.0,-1.0
Case-0002,0.8925898515090914,0.8919256191547132,-1.0,-1.0
Case-0003,0.9259918779320236,0.9211014691722884,-1.0,-1.0
Case-0004,0.9268483129224224,0.9217981702224868,-1.0,-1.0
Case-0005,0.915381299959693,0.9129715539252706,-1.0,-1.0
Case-0006,0.9341453635532672,0.9306217214431004,-1.0,-1.0
Case-0007,0.9288440693318222,0.9262992185542545,-1.0,-1.0
Case-0008,0.9254864867127214,0.9198092792428876,-1.0,-1.0
Case-0009,0.9403355079057591,0.9309663575120446,-1.0,-1.0
Case-0010,0.8828380478179398,0.8728182096560172,-1.0,-1.0
Case-0011,0.9241884402216944,0.9219780797434752,-1.0,-1.0
Case-0012,0.8875028057262425,0.8920503535092257,-1.0,-1.0
Case-0013,0.9079817352480098,0.9062359215823051,-1.0,-1.0
Case-0014,0.8285059225293163,0.8269308080582481,-1.0,-1.0
Case-0015,0.8943149773706691,0.8948502791924894,-1.0,-1.0
Case-0016,0.9412874346777436,0.9399086719555564,-1.0,-1.0
Case-0017,0.9103278512307856,0.9001684374190204,-1.0,-1.0
Case-0018,0.934323207868896,0.9292458903815616,-1.0,-1.0
Case-0019,0.8813979928549569,0.8891778547642583,-1.0,-1.0
Case-0020,0.9338193864926144,0.9269968826581042,-1.0,-1.0
Case-0021,0.9126033165977984,0.9104149491618576,-1.0,-1.0
Case-0022,0.9312220069708336,0.9299518415011478,-1.0,-1.0
Case-0023,0.9034045046381628,0.8937761728469988,-1.0,-1.0
Case-0024,0.8898177644483852,0.8850454119994652,-1.0,-1.0
Case-0025,0.9242211693508852,0.9228918949641924,-1.0,-1.0
Case-0026,0.9384201006086692,0.9292528162421142,-1.0,-1.0
Case-0028,0.8978637667660471,0.8975423757600463,-1.0,-1.0
Case-0029,0.9008816979630316,0.8955217951409974,-1.0,-1.0
Case-0030,0.898660991777104,0.8949918992931596,-1.0,-1.0
Case-0031,0.8686502796242719,0.8658856721130761,-1.0,-1.0
Case-0032,0.9179308629694106,0.9189972964086076,-1.0,-1.0
Case-0033,0.906562731629162,0.8957452522060615,-1.0,-1.0
Case-0034,0.9191351476556704,0.9118038350786114,-1.0,-1.0
Case-0035,0.9284700741541146,0.926799501613628,-1.0,-1.0
Case-0036,0.9487603680750668,0.9446433892792024,-1.0,-1.0
Case-0037,0.9218270739993316,0.9141633644381949,-1.0,-1.0
Case-0038,0.8815362952660669,0.8834326195459669,-1.0,-1.0
Case-0039,0.9355509639202321,0.9272216968445528,-1.0,-1.0
Case-0040,0.9034708884553924,0.9100972238491272,-1.0,-1.0
Case-0041,0.9068780290143088,0.9066905615292712,-1.0,-1.0
Case-0042,0.9445494898886684,0.9246826074496028,-1.0,-1.0
Case-0043,0.8779226834220778,0.8718362430152248,-1.0,-1.0
Case-0044,0.8891715897008349,0.8892591032066349,-1.0,-1.0
Case-0045,0.918409512307332,0.9186451651659671,-1.0,-1.0
Case-0046,0.8844803256621515,0.8864100951332652,-1.0,-1.0
Case-0047,0.8919784659578206,0.8864624125676257,-1.0,-1.0
Case-0048,0.9058358788640508,0.9001559910305158,-1.0,-1.0
Case-0049,0.8831711316414761,0.8790135053093392,-1.0,-1.0
Case-0050,0.901786411625078,0.8994816037131641,-1.0,-1.0
Case-0051,0.930763115463856,0.9265118912797282,-1.0,-1.0
Case-0053,0.9090811212795596,0.9041891359113658,-1.0,-1.0
Case-0054,0.744165612140005,0.7401028808608158,-1.0,-1.0
Case-0055,0.9535089162416684,0.9551277046788016,-1.0,-1.0
Case-0056,0.9175141895274525,0.917306835028354,-1.0,-1.0
Case-0057,0.9214805273727656,0.916015270920201,-1.0,-1.0
Case-0058,0.9138347460673709,0.9121821096198474,-1.0,-1.0
Case-0059,0.8778803351384524,0.8683552540412226,-1.0,-1.0
Case-0060,0.9291675735099652,0.9256233379969796,-1.0,-1.0
Case-0061,0.9289577552211066,0.9186439796024559,-1.0,-1.0
Case-0062,0.8574575098761784,0.8574725970777374,-1.0,-1.0
Case-0063,0.8858900890227146,0.8770181665803939,-1.0,-1.0
Case-0064,0.8987227103421905,0.8950321004231641,-1.0,-1.0
Case-0065,0.8917240840894166,0.8935548234420676,-1.0,-1.0
Case-0066,0.923896742055102,0.9211480993041956,-1.0,-1.0
Case-0067,0.8457859589614273,0.8487933002148228,-1.0,-1.0
Case-0068,0.9181253874891042,0.9098056487908104,-1.0,-1.0
Case-0069,0.8964664721185864,0.884253415355117,-1.0,-1.0
Case-0070,0.939690553384612,0.9385005259634694,-1.0,-1.0
Case-0071,0.9157696731222116,0.9158438459781202,-1.0,-1.0
Case-0072,0.9100369655172412,0.8993996592300729,-1.0,-1.0
Case-0073,0.9326123617452556,0.9314414176143876,-1.0,-1.0
Case-0074,0.8933534574186337,0.8878620411456233,-1.0,-1.0
Case-0076,0.9194116718011652,0.924425129277148,-1.0,-1.0
Case-0077,0.8647848109256611,0.8664160401002506,-1.0,-1.0
Case-0078,0.9282496184295296,0.9305130043673816,-1.0,-1.0
Case-0080,0.9327603772237626,0.9290273867109474,-1.0,-1.0
Case-0081,0.9363662725373468,0.9349915535620668,-1.0,-1.0
Case-0082,0.9096061956712868,0.9060083173562292,-1.0,-1.0
Case-0083,0.8833808247719115,0.8723926030483197,-1.0,-1.0
Case-0084,0.8604877558967376,0.8658954647987653,-1.0,-1.0
Case-0085,0.8868818571375798,0.8877618164967562,-1.0,-1.0
Case-0086,0.9377365663514662,0.9292656668586164,-1.0,-1.0
Case-0087,0.9167973655492372,0.9217006493237934,-1.0,-1.0
Case-0089,0.9207851939668652,0.9245476341728314,-1.0,-1.0
Case-0090,0.9189305433126588,0.9187967668735818,-1.0,-1.0
Case-0091,0.9275271725885852,0.9229982036104484,-1.0,-1.0
Case-0092,0.8513061224489796,0.8364449248305001,-1.0,-1.0
Case-0093,0.8768353329630415,0.8659393346379648,-1.0,-1.0
Case-0094,0.8877134688807771,0.891183791788764,-1.0,-1.0
Case-0095,0.9070320704976266,0.9060173392491364,-1.0,-1.0
Case-0096,0.9439126839816091,0.9413018563938456,-1.0,-1.0
Case-0097,0.9148324689650816,0.9115175414740276,-1.0,-1.0
Case-0098,0.9328879070660244,0.9293269803454436,-1.0,-1.0
Case-0099,0.8955138014440919,0.8920180934757437,-1.0,-1.0
Case-0100,0.9303042249394652,0.92704553302105,-1.0,-1.0
Case-0101,0.9421755342515609,0.9316478928632655,-1.0,-1.0
Case-0102,0.9203096944682032,0.922540707845512,-1.0,-1.0
Case-0103,0.9069494783321479,0.8999079593644895,-1.0,-1.0
Case-0104,0.9183545675431248,0.9142191200768974,-1.0,-1.0
Case-0105,0.905876693086042,0.9013484557728879,-1.0,-1.0
Case-0106,0.8871315124356738,0.8863481560766759,-1.0,-1.0
Case-0107,0.9365507211336256,0.9332196975745286,-1.0,-1.0
Case-0108,0.9101244115373806,0.8985483349712108,-1.0,-1.0
Case-0109,0.8902555404338564,0.8876370620156769,-1.0,-1.0
Case-0110,0.9448637140433344,0.9449097579957751,-1.0,-1.0
Case-0111,0.8816849218026266,0.8731045176210875,-1.0,-1.0
